employer_id,sektor_usaha,wilayah,skala,tanggal_registrasi
EMP-0041,Manufaktur,Jawa Barat,Menengah,2022-01-01
EMP-0042,Manufaktur,Jawa Barat,Menengah,2022-01-01
EMP-0043,Manufaktur,Jawa Barat,Menengah,2022-01-01
EMP-0044,Manufaktur,Jawa Barat,Menengah,2022-01-01
EMP-0045,Manufaktur,Jawa Barat,Menengah,2022-01-01
EMP-0046,Manufaktur,Jawa Barat,Menengah,2022-01-01
EMP-0047,Manufaktur,Jawa Barat,Menengah,2022-01-01
EMP-0048,Manufaktur,Jawa Barat,Menengah,2022-01-01
EMP-0049,Manufaktur,Jawa Barat,Menengah,2022-01-01
EMP-0050,Manufaktur,Jawa Barat,Menengah,2025-11-01
EMP-0051,Manufaktur,Jawa Barat,Menengah,2022-01-01
EMP-0052,Manufaktur,Jawa Barat,Menengah,2022-01-01
EMP-0053,Manufaktur,Jawa Barat,Menengah,2022-01-01
EMP-0054,Manufaktur,Jawa Barat,Menengah,2022-01-01
EMP-0055,Manufaktur,Jawa Barat,Menengah,2022-01-01
EMP-0056,Manufaktur,Jawa Barat,Menengah,2022-01-01
EMP-0057,Manufaktur,Jawa Barat,Menengah,2022-01-01
EMP-0058,Manufaktur,Jawa Barat,Menengah,2022-01-01
EMP-0059,Manufaktur,Jawa Barat,Menengah,2022-01-01
EMP-0060,Manufaktur,Jawa Barat,Menengah,2022-01-01
EMP-0061,Manufaktur,Jawa Barat,Menengah,2022-01-01
EMP-0062,Manufaktur,Jawa Barat,Menengah,2022-01-01
EMP-0063,Manufaktur,Jawa Barat,Menengah,2022-01-01
EMP-0064,Manufaktur,Jawa Barat,Menengah,2022-01-01
EMP-0065,Manufaktur,Jawa Barat,Menengah,2022-01-01
EMP-0066,Manufaktur,Jawa Barat,Menengah,2022-01-01
EMP-0067,Manufaktur,Jawa Barat,Menengah,2022-01-01
EMP-0068,Manufaktur,Jawa Barat,Menengah,2022-01-01
EMP-0069,Manufaktur,Jawa Timur,Besar,2022-01-01
EMP-0070,Manufaktur,Jawa Timur,Besar,2022-01-01
EMP-0071,Manufaktur,Jawa Timur,Besar,2022-01-01
EMP-0072,Manufaktur,Jawa Timur,Besar,2022-01-01
EMP-0073,Manufaktur,Jawa Timur,Besar,2022-01-01
EMP-0074,Manufaktur,Jawa Timur,Besar,2022-01-01
EMP-0075,Manufaktur,Jawa Timur,Besar,2022-01-01
EMP-0076,Manufaktur,Jawa Timur,Besar,2022-01-01
EMP-0077,Manufaktur,Jawa Timur,Besar,2022-01-01
EMP-0078,Manufaktur,Jawa Timur,Besar,2022-01-01
EMP-0079,Manufaktur,Jawa Timur,Besar,2022-01-01
EMP-0080,Manufaktur,Jawa Timur,Besar,2022-01-01
EMP-0081,Manufaktur,Jawa Timur,Besar,2022-01-01
EMP-0082,Manufaktur,Jawa Timur,Besar,2022-01-01
EMP-0083,Manufaktur,Jawa Timur,Besar,2022-01-01
EMP-0084,Manufaktur,Jawa Timur,Besar,2022-01-01
EMP-0085,Manufaktur,Jawa Timur,Besar,2022-01-01
EMP-0086,Manufaktur,Jawa Timur,Besar,2022-01-01
EMP-0087,Manufaktur,Jawa Timur,Besar,2022-01-01
EMP-0088,Manufaktur,Jawa Timur,Besar,2022-01-01
EMP-0089,Manufaktur,Jawa Timur,Besar,2022-01-01
EMP-0090,Manufaktur,Jawa Timur,Besar,2022-01-01
EMP-0091,Manufaktur,Jawa Timur,Besar,2022-01-01
EMP-0092,Manufaktur,Jawa Timur,Besar,2022-01-01
EMP-0093,Manufaktur,Jawa Timur,Besar,2022-01-01
EMP-0094,Manufaktur,Jawa Timur,Besar,2022-01-01
EMP-0095,Manufaktur,Jawa Timur,Besar,2022-01-01
EMP-0096,Manufaktur,Jawa Timur,Besar,2022-01-01
EMP-0097,Manufaktur,Jawa Timur,Besar,2022-01-01
EMP-0098,Manufaktur,Jawa Timur,Besar,2022-01-01
EMP-0099,Manufaktur,Jawa Timur,Besar,2022-01-01
EMP-0100,Manufaktur,Jawa Timur,Besar,2022-01-01
EMP-0101,Manufaktur,Jawa Timur,Besar,2022-01-01
EMP-0102,Manufaktur,Jawa Timur,Besar,2022-01-01
EMP-0103,Manufaktur,Sumatera Utara,Kecil,2022-01-01
EMP-0104,Manufaktur,Sumatera Utara,Kecil,2022-01-01
EMP-0105,Manufaktur,Sumatera Utara,Kecil,2022-01-01
EMP-0106,Manufaktur,Sumatera Utara,Kecil,2022-01-01
EMP-0107,Manufaktur,Sumatera Utara,Kecil,2022-01-01
EMP-0108,Manufaktur,Sumatera Utara,Kecil,2022-01-01
EMP-0109,Manufaktur,Sumatera Utara,Kecil,2022-01-01
EMP-0110,Manufaktur,Sumatera Utara,Kecil,2022-01-01
EMP-0111,Manufaktur,Sumatera Utara,Kecil,2022-01-01
EMP-0112,Manufaktur,Sumatera Utara,Kecil,2022-01-01
EMP-0113,Manufaktur,Sumatera Utara,Kecil,2022-01-01
EMP-0114,Manufaktur,Sumatera Utara,Kecil,2022-01-01
EMP-0115,Manufaktur,Sumatera Utara,Kecil,2022-01-01
EMP-0116,Manufaktur,Sumatera Utara,Kecil,2022-01-01
EMP-0117,Manufaktur,Sumatera Utara,Kecil,2022-01-01
EMP-0118,Manufaktur,Sumatera Utara,Kecil,2022-01-01
EMP-0119,Manufaktur,Sumatera Utara,Kecil,2022-01-01
EMP-0120,Manufaktur,Sumatera Utara,Kecil,2022-01-01
EMP-0121,Manufaktur,Sumatera Utara,Kecil,2022-01-01
EMP-0122,Manufaktur,Sumatera Utara,Kecil,2022-01-01
EMP-0123,Manufaktur,Sumatera Utara,Kecil,2022-01-01
EMP-0124,Manufaktur,Sumatera Utara,Kecil,2022-01-01
EMP-0125,Manufaktur,Sumatera Utara,Kecil,2022-01-01
EMP-0126,Manufaktur,Sumatera Utara,Kecil,2022-01-01
EMP-0127,Manufaktur,Sumatera Utara,Kecil,2022-01-01
EMP-0128,Manufaktur,Sumatera Utara,Kecil,2022-01-01
EMP-0129,Manufaktur,Sumatera Utara,Kecil,2022-01-01
EMP-0130,Manufaktur,Sumatera Utara,Kecil,2022-01-01
EMP-0131,Manufaktur,Sumatera Utara,Kecil,2022-01-01
EMP-0132,Manufaktur,Sumatera Utara,Kecil,2022-01-01
EMP-0133,Manufaktur,Sumatera Utara,Kecil,2022-01-01
EMP-0134,Manufaktur,Sumatera Utara,Kecil,2022-01-01
EMP-0135,Manufaktur,Sumatera Utara,Kecil,2022-01-01
EMP-0136,Manufaktur,Sumatera Utara,Kecil,2022-01-01
EMP-0137,Manufaktur,Sulawesi Selatan,Menengah,2022-01-01
EMP-0138,Manufaktur,Sulawesi Selatan,Menengah,2022-01-01
EMP-0139,Manufaktur,Sulawesi Selatan,Menengah,2022-01-01
EMP-0140,Manufaktur,Sulawesi Selatan,Menengah,2022-01-01
EMP-0141,Manufaktur,Sulawesi Selatan,Menengah,2022-01-01
EMP-0142,Manufaktur,Sulawesi Selatan,Menengah,2022-01-01
EMP-0143,Manufaktur,Sulawesi Selatan,Menengah,2022-01-01
EMP-0144,Manufaktur,Sulawesi Selatan,Menengah,2022-01-01
EMP-0145,Manufaktur,Sulawesi Selatan,Menengah,2022-01-01
EMP-0146,Manufaktur,Sulawesi Selatan,Menengah,2022-01-01
EMP-0147,Manufaktur,Sulawesi Selatan,Menengah,2022-01-01
EMP-0148,Manufaktur,Sulawesi Selatan,Menengah,2022-01-01
EMP-0149,Manufaktur,Sulawesi Selatan,Menengah,2022-01-01
EMP-0150,Manufaktur,Sulawesi Selatan,Menengah,2022-01-01
EMP-0151,Manufaktur,Sulawesi Selatan,Menengah,2022-01-01
EMP-0152,Manufaktur,Sulawesi Selatan,Menengah,2022-01-01
EMP-0153,Manufaktur,Sulawesi Selatan,Menengah,2022-01-01
EMP-0154,Manufaktur,Sulawesi Selatan,Menengah,2022-01-01
EMP-0155,Manufaktur,Sulawesi Selatan,Menengah,2022-01-01
EMP-0156,Manufaktur,Sulawesi Selatan,Menengah,2022-01-01
EMP-0157,Manufaktur,Sulawesi Selatan,Menengah,2022-01-01
EMP-0158,Manufaktur,Sulawesi Selatan,Menengah,2022-01-01
EMP-0159,Manufaktur,Sulawesi Selatan,Menengah,2022-01-01
EMP-0160,Manufaktur,Sulawesi Selatan,Menengah,2022-01-01
EMP-0161,Manufaktur,Sulawesi Selatan,Menengah,2022-01-01
EMP-0162,Manufaktur,Sulawesi Selatan,Menengah,2022-01-01
EMP-0163,Manufaktur,Sulawesi Selatan,Menengah,2022-01-01
EMP-0164,Manufaktur,Sulawesi Selatan,Menengah,2022-01-01
EMP-0165,Manufaktur,Sulawesi Selatan,Menengah,2022-01-01
EMP-0166,Manufaktur,Sulawesi Selatan,Menengah,2022-01-01
EMP-0167,Manufaktur,Sulawesi Selatan,Menengah,2022-01-01
EMP-0168,Manufaktur,Sulawesi Selatan,Menengah,2022-01-01
EMP-0169,Manufaktur,Sulawesi Selatan,Menengah,2022-01-01
EMP-0170,Manufaktur,Sulawesi Selatan,Menengah,2022-01-01
EMP-0171,Konstruksi,DKI Jakarta,Besar,2022-01-01
EMP-0172,Konstruksi,DKI Jakarta,Besar,2022-01-01
EMP-0173,Konstruksi,DKI Jakarta,Besar,2022-01-01
EMP-0174,Konstruksi,DKI Jakarta,Besar,2022-01-01
EMP-0175,Konstruksi,DKI Jakarta,Besar,2022-01-01
EMP-0176,Konstruksi,DKI Jakarta,Besar,2022-01-01
EMP-0177,Konstruksi,DKI Jakarta,Besar,2022-01-01
EMP-0178,Konstruksi,DKI Jakarta,Besar,2022-01-01
EMP-0179,Konstruksi,DKI Jakarta,Besar,2022-01-01
EMP-0180,Konstruksi,DKI Jakarta,Besar,2022-01-01
EMP-0181,Konstruksi,DKI Jakarta,Besar,2022-01-01
EMP-0182,Konstruksi,DKI Jakarta,Besar,2022-01-01
EMP-0183,Konstruksi,DKI Jakarta,Besar,2022-01-01
EMP-0184,Konstruksi,DKI Jakarta,Besar,2022-01-01
EMP-0185,Konstruksi,DKI Jakarta,Besar,2022-01-01
EMP-0186,Konstruksi,DKI Jakarta,Besar,2022-01-01
EMP-0187,Konstruksi,DKI Jakarta,Besar,2022-01-01
EMP-0188,Konstruksi,DKI Jakarta,Besar,2022-01-01
EMP-0189,Konstruksi,DKI Jakarta,Besar,2022-01-01
EMP-0190,Konstruksi,DKI Jakarta,Besar,2022-01-01
EMP-0191,Konstruksi,DKI Jakarta,Besar,2022-01-01
EMP-0192,Konstruksi,DKI Jakarta,Besar,2022-01-01
EMP-0193,Konstruksi,DKI Jakarta,Besar,2022-01-01
EMP-0194,Konstruksi,DKI Jakarta,Besar,2022-01-01
EMP-0195,Konstruksi,DKI Jakarta,Besar,2022-01-01
EMP-0196,Konstruksi,DKI Jakarta,Besar,2022-01-01
EMP-0197,Konstruksi,DKI Jakarta,Besar,2022-01-01
EMP-0198,Konstruksi,DKI Jakarta,Besar,2022-01-01
EMP-0199,Konstruksi,DKI Jakarta,Besar,2022-01-01
EMP-0200,Konstruksi,DKI Jakarta,Besar,2022-01-01
EMP-0201,Konstruksi,DKI Jakarta,Besar,2022-01-01
EMP-0202,Konstruksi,DKI Jakarta,Besar,2022-01-01
EMP-0203,Konstruksi,DKI Jakarta,Besar,2022-01-01
EMP-0204,Konstruksi,DKI Jakarta,Besar,2022-01-01
EMP-0205,Konstruksi,Jawa Barat,Kecil,2022-01-01
EMP-0206,Konstruksi,Jawa Barat,Kecil,2022-01-01
EMP-0207,Konstruksi,Jawa Barat,Kecil,2022-01-01
EMP-0208,Konstruksi,Jawa Barat,Kecil,2022-01-01
EMP-0209,Konstruksi,Jawa Barat,Kecil,2022-01-01
EMP-0210,Konstruksi,Jawa Barat,Kecil,2022-01-01
EMP-0211,Konstruksi,Jawa Barat,Kecil,2022-01-01
EMP-0212,Konstruksi,Jawa Barat,Kecil,2025-11-01
EMP-0213,Konstruksi,Jawa Barat,Kecil,2022-01-01
EMP-0214,Konstruksi,Jawa Barat,Kecil,2022-01-01
EMP-0215,Konstruksi,Jawa Barat,Kecil,2022-01-01
EMP-0216,Konstruksi,Jawa Barat,Kecil,2022-01-01
EMP-0217,Konstruksi,Jawa Barat,Kecil,2022-01-01
EMP-0218,Konstruksi,Jawa Barat,Kecil,2022-01-01
EMP-0219,Konstruksi,Jawa Barat,Kecil,2022-01-01
EMP-0220,Konstruksi,Jawa Barat,Kecil,2022-01-01
EMP-0221,Konstruksi,Jawa Barat,Kecil,2022-01-01
EMP-0222,Konstruksi,Jawa Barat,Kecil,2022-01-01
EMP-0223,Konstruksi,Jawa Barat,Kecil,2022-01-01
EMP-0224,Konstruksi,Jawa Barat,Kecil,2022-01-01
EMP-0225,Konstruksi,Jawa Barat,Kecil,2022-01-01
EMP-0226,Konstruksi,Jawa Barat,Kecil,2022-01-01
EMP-0227,Konstruksi,Jawa Barat,Kecil,2022-01-01
EMP-0228,Konstruksi,Jawa Barat,Kecil,2022-01-01
EMP-0229,Konstruksi,Jawa Barat,Kecil,2022-01-01
EMP-0230,Konstruksi,Jawa Barat,Kecil,2022-01-01
EMP-0231,Konstruksi,Jawa Barat,Kecil,2022-01-01
EMP-0232,Konstruksi,Jawa Barat,Kecil,2022-01-01
EMP-0233,Konstruksi,Jawa Barat,Kecil,2022-01-01
EMP-0234,Konstruksi,Jawa Barat,Kecil,2022-01-01
EMP-0235,Konstruksi,Jawa Barat,Kecil,2022-01-01
EMP-0236,Konstruksi,Jawa Barat,Kecil,2022-01-01
EMP-0237,Konstruksi,Jawa Barat,Kecil,2022-01-01
EMP-0238,Konstruksi,Jawa Barat,Kecil,2022-01-01
EMP-0239,Konstruksi,Jawa Timur,Menengah,2022-01-01
EMP-0240,Konstruksi,Jawa Timur,Menengah,2022-01-01
EMP-0241,Konstruksi,Jawa Timur,Menengah,2022-01-01
EMP-0242,Konstruksi,Jawa Timur,Menengah,2022-01-01
EMP-0243,Konstruksi,Jawa Timur,Menengah,2022-01-01
EMP-0244,Konstruksi,Jawa Timur,Menengah,2022-01-01
EMP-0245,Konstruksi,Jawa Timur,Menengah,2022-01-01
EMP-0246,Konstruksi,Jawa Timur,Menengah,2022-01-01
EMP-0247,Konstruksi,Jawa Timur,Menengah,2022-01-01
EMP-0248,Konstruksi,Jawa Timur,Menengah,2022-01-01
EMP-0249,Konstruksi,Jawa Timur,Menengah,2022-01-01
EMP-0250,Konstruksi,Jawa Timur,Menengah,2022-01-01
EMP-0251,Konstruksi,Jawa Timur,Menengah,2022-01-01
EMP-0252,Konstruksi,Jawa Timur,Menengah,2022-01-01
EMP-0253,Konstruksi,Jawa Timur,Menengah,2022-01-01
EMP-0254,Konstruksi,Jawa Timur,Menengah,2022-01-01
EMP-0255,Konstruksi,Jawa Timur,Menengah,2022-01-01
EMP-0256,Konstruksi,Jawa Timur,Menengah,2022-01-01
EMP-0257,Konstruksi,Jawa Timur,Menengah,2022-01-01
EMP-0258,Konstruksi,Jawa Timur,Menengah,2022-01-01
EMP-0259,Konstruksi,Jawa Timur,Menengah,2022-01-01
EMP-0260,Konstruksi,Jawa Timur,Menengah,2022-01-01
EMP-0261,Konstruksi,Jawa Timur,Menengah,2025-11-01
EMP-0262,Konstruksi,Jawa Timur,Menengah,2022-01-01
EMP-0263,Konstruksi,Jawa Timur,Menengah,2022-01-01
EMP-0264,Konstruksi,Jawa Timur,Menengah,2022-01-01
EMP-0265,Konstruksi,Jawa Timur,Menengah,2022-01-01
EMP-0266,Konstruksi,Jawa Timur,Menengah,2022-01-01
EMP-0267,Konstruksi,Jawa Timur,Menengah,2022-01-01
EMP-0268,Konstruksi,Jawa Timur,Menengah,2022-01-01
EMP-0269,Konstruksi,Jawa Timur,Menengah,2022-01-01
EMP-0270,Konstruksi,Jawa Timur,Menengah,2022-01-01
EMP-0271,Konstruksi,Jawa Timur,Menengah,2022-01-01
EMP-0272,Konstruksi,Jawa Timur,Menengah,2022-01-01
EMP-0273,Konstruksi,Sumatera Utara,Besar,2025-11-01
EMP-0274,Konstruksi,Sumatera Utara,Besar,2022-01-01
EMP-0275,Konstruksi,Sumatera Utara,Besar,2022-01-01
EMP-0276,Konstruksi,Sumatera Utara,Besar,2022-01-01
EMP-0277,Konstruksi,Sumatera Utara,Besar,2022-01-01
EMP-0278,Konstruksi,Sumatera Utara,Besar,2022-01-01
EMP-0279,Konstruksi,Sumatera Utara,Besar,2022-01-01
EMP-0280,Konstruksi,Sumatera Utara,Besar,2022-01-01
EMP-0281,Konstruksi,Sumatera Utara,Besar,2022-01-01
EMP-0282,Konstruksi,Sumatera Utara,Besar,2022-01-01
EMP-0283,Konstruksi,Sumatera Utara,Besar,2022-01-01
EMP-0284,Konstruksi,Sumatera Utara,Besar,2022-01-01
EMP-0285,Konstruksi,Sumatera Utara,Besar,2022-01-01
EMP-0286,Konstruksi,Sumatera Utara,Besar,2022-01-01
EMP-0287,Konstruksi,Sumatera Utara,Besar,2022-01-01
EMP-0288,Konstruksi,Sumatera Utara,Besar,2022-01-01
EMP-0289,Konstruksi,Sumatera Utara,Besar,2022-01-01
EMP-0290,Konstruksi,Sumatera Utara,Besar,2022-01-01
EMP-0291,Konstruksi,Sumatera Utara,Besar,2025-11-01
EMP-0292,Konstruksi,Sumatera Utara,Besar,2022-01-01
EMP-0293,Konstruksi,Sumatera Utara,Besar,2022-01-01
EMP-0294,Konstruksi,Sumatera Utara,Besar,2022-01-01
EMP-0295,Konstruksi,Sumatera Utara,Besar,2022-01-01
EMP-0296,Konstruksi,Sumatera Utara,Besar,2022-01-01
EMP-0297,Konstruksi,Sumatera Utara,Besar,2022-01-01
EMP-0298,Konstruksi,Sumatera Utara,Besar,2022-01-01
EMP-0299,Konstruksi,Sumatera Utara,Besar,2022-01-01
EMP-0300,Konstruksi,Sumatera Utara,Besar,2022-01-01
EMP-0301,Konstruksi,Sumatera Utara,Besar,2022-01-01
EMP-0302,Konstruksi,Sumatera Utara,Besar,2022-01-01
EMP-0303,Konstruksi,Sumatera Utara,Besar,2022-01-01
EMP-0304,Konstruksi,Sumatera Utara,Besar,2022-01-01
EMP-0305,Konstruksi,Sumatera Utara,Besar,2022-01-01
EMP-0306,Konstruksi,Sumatera Utara,Besar,2022-01-01
EMP-0307,Konstruksi,Sulawesi Selatan,Kecil,2022-01-01
EMP-0308,Konstruksi,Sulawesi Selatan,Kecil,2022-01-01
EMP-0309,Konstruksi,Sulawesi Selatan,Kecil,2022-01-01
EMP-0310,Konstruksi,Sulawesi Selatan,Kecil,2022-01-01
EMP-0311,Konstruksi,Sulawesi Selatan,Kecil,2022-01-01
EMP-0312,Konstruksi,Sulawesi Selatan,Kecil,2022-01-01
EMP-0313,Konstruksi,Sulawesi Selatan,Kecil,2022-01-01
EMP-0314,Konstruksi,Sulawesi Selatan,Kecil,2022-01-01
EMP-0315,Konstruksi,Sulawesi Selatan,Kecil,2022-01-01
EMP-0316,Konstruksi,Sulawesi Selatan,Kecil,2022-01-01
EMP-0317,Konstruksi,Sulawesi Selatan,Kecil,2022-01-01
EMP-0318,Konstruksi,Sulawesi Selatan,Kecil,2022-01-01
EMP-0319,Konstruksi,Sulawesi Selatan,Kecil,2022-01-01
EMP-0320,Konstruksi,Sulawesi Selatan,Kecil,2022-01-01
EMP-0321,Konstruksi,Sulawesi Selatan,Kecil,2022-01-01
EMP-0322,Konstruksi,Sulawesi Selatan,Kecil,2022-01-01
EMP-0323,Konstruksi,Sulawesi Selatan,Kecil,2022-01-01
EMP-0324,Konstruksi,Sulawesi Selatan,Kecil,2022-01-01
EMP-0325,Konstruksi,Sulawesi Selatan,Kecil,2022-01-01
EMP-0326,Konstruksi,Sulawesi Selatan,Kecil,2022-01-01
EMP-0327,Konstruksi,Sulawesi Selatan,Kecil,2022-01-01
EMP-0328,Konstruksi,Sulawesi Selatan,Kecil,2022-01-01
EMP-0329,Konstruksi,Sulawesi Selatan,Kecil,2022-01-01
EMP-0330,Konstruksi,Sulawesi Selatan,Kecil,2022-01-01
EMP-0331,Konstruksi,Sulawesi Selatan,Kecil,2022-01-01
EMP-0332,Konstruksi,Sulawesi Selatan,Kecil,2022-01-01
EMP-0333,Konstruksi,Sulawesi Selatan,Kecil,2022-01-01
EMP-0334,Konstruksi,Sulawesi Selatan,Kecil,2022-01-01
EMP-0335,Konstruksi,Sulawesi Selatan,Kecil,2022-01-01
EMP-0336,Konstruksi,Sulawesi Selatan,Kecil,2022-01-01
EMP-0337,Konstruksi,Sulawesi Selatan,Kecil,2022-01-01
EMP-0338,Konstruksi,Sulawesi Selatan,Kecil,2022-01-01
EMP-0339,Konstruksi,Sulawesi Selatan,Kecil,2022-01-01
EMP-0340,Konstruksi,Sulawesi Selatan,Kecil,2022-01-01
EMP-0341,Perdagangan & Ritel,DKI Jakarta,Menengah,2022-01-01
EMP-0342,Perdagangan & Ritel,DKI Jakarta,Menengah,2022-01-01
EMP-0343,Perdagangan & Ritel,DKI Jakarta,Menengah,2022-01-01
EMP-0344,Perdagangan & Ritel,DKI Jakarta,Menengah,2022-01-01
EMP-0345,Perdagangan & Ritel,DKI Jakarta,Menengah,2022-01-01
EMP-0346,Perdagangan & Ritel,DKI Jakarta,Menengah,2022-01-01
EMP-0347,Perdagangan & Ritel,DKI Jakarta,Menengah,2022-01-01
EMP-0348,Perdagangan & Ritel,DKI Jakarta,Menengah,2022-01-01
EMP-0349,Perdagangan & Ritel,DKI Jakarta,Menengah,2022-01-01
EMP-0350,Perdagangan & Ritel,DKI Jakarta,Menengah,2022-01-01
EMP-0351,Perdagangan & Ritel,DKI Jakarta,Menengah,2022-01-01
EMP-0352,Perdagangan & Ritel,DKI Jakarta,Menengah,2022-01-01
EMP-0353,Perdagangan & Ritel,DKI Jakarta,Menengah,2022-01-01
EMP-0354,Perdagangan & Ritel,DKI Jakarta,Menengah,2022-01-01
EMP-0355,Perdagangan & Ritel,DKI Jakarta,Menengah,2022-01-01
EMP-0356,Perdagangan & Ritel,DKI Jakarta,Menengah,2022-01-01
EMP-0357,Perdagangan & Ritel,DKI Jakarta,Menengah,2022-01-01
EMP-0358,Perdagangan & Ritel,DKI Jakarta,Menengah,2022-01-01
EMP-0359,Perdagangan & Ritel,DKI Jakarta,Menengah,2022-01-01
EMP-0360,Perdagangan & Ritel,DKI Jakarta,Menengah,2022-01-01
EMP-0361,Perdagangan & Ritel,DKI Jakarta,Menengah,2022-01-01
EMP-0362,Perdagangan & Ritel,DKI Jakarta,Menengah,2022-01-01
EMP-0363,Perdagangan & Ritel,DKI Jakarta,Menengah,2022-01-01
EMP-0364,Perdagangan & Ritel,DKI Jakarta,Menengah,2022-01-01
EMP-0365,Perdagangan & Ritel,DKI Jakarta,Menengah,2022-01-01
EMP-0366,Perdagangan & Ritel,DKI Jakarta,Menengah,2025-11-01
EMP-0367,Perdagangan & Ritel,DKI Jakarta,Menengah,2022-01-01
EMP-0368,Perdagangan & Ritel,DKI Jakarta,Menengah,2022-01-01
EMP-0369,Perdagangan & Ritel,DKI Jakarta,Menengah,2022-01-01
EMP-0370,Perdagangan & Ritel,DKI Jakarta,Menengah,2022-01-01
EMP-0371,Perdagangan & Ritel,DKI Jakarta,Menengah,2022-01-01
EMP-0372,Perdagangan & Ritel,DKI Jakarta,Menengah,2022-01-01
EMP-0373,Perdagangan & Ritel,DKI Jakarta,Menengah,2022-01-01
EMP-0374,Perdagangan & Ritel,DKI Jakarta,Menengah,2022-01-01
EMP-0375,Perdagangan & Ritel,Jawa Barat,Besar,2022-01-01
EMP-0376,Perdagangan & Ritel,Jawa Barat,Besar,2022-01-01
EMP-0377,Perdagangan & Ritel,Jawa Barat,Besar,2022-01-01
EMP-0378,Perdagangan & Ritel,Jawa Barat,Besar,2022-01-01
EMP-0379,Perdagangan & Ritel,Jawa Barat,Besar,2022-01-01
EMP-0380,Perdagangan & Ritel,Jawa Barat,Besar,2022-01-01
EMP-0381,Perdagangan & Ritel,Jawa Barat,Besar,2022-01-01
EMP-0382,Perdagangan & Ritel,Jawa Barat,Besar,2022-01-01
EMP-0383,Perdagangan & Ritel,Jawa Barat,Besar,2022-01-01
EMP-0384,Perdagangan & Ritel,Jawa Barat,Besar,2022-01-01
EMP-0385,Perdagangan & Ritel,Jawa Barat,Besar,2022-01-01
EMP-0386,Perdagangan & Ritel,Jawa Barat,Besar,2022-01-01
EMP-0387,Perdagangan & Ritel,Jawa Barat,Besar,2022-01-01
EMP-0388,Perdagangan & Ritel,Jawa Barat,Besar,2022-01-01
EMP-0389,Perdagangan & Ritel,Jawa Barat,Besar,2022-01-01
EMP-0390,Perdagangan & Ritel,Jawa Barat,Besar,2022-01-01
EMP-0391,Perdagangan & Ritel,Jawa Barat,Besar,2022-01-01
EMP-0392,Perdagangan & Ritel,Jawa Barat,Besar,2022-01-01
EMP-0393,Perdagangan & Ritel,Jawa Barat,Besar,2022-01-01
EMP-0394,Perdagangan & Ritel,Jawa Barat,Besar,2022-01-01
