rank,employer_id,sektor,wilayah,skala,status_A,score_A,status_B,score_B,status_C,score_C,coverage,composite_score,max_module_score,n_flags,band,summary
14,EMP-0738,Teknologi & Digital,Jawa Barat,Kecil,FLAGGED,1.0,NOT_CANDIDATE,0.0,ONE_OFF_GAP,0.49,3,0.497,1.0,1,Tinggi,"Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Headcount turun 52% (56→27) pada 2025-07, hanya 1 resign tercatat."
15,EMP-0817,Teknologi & Digital,Sulawesi Selatan,Kecil,NORMAL,0.0,FLAGGED,1.0,ONE_OFF_GAP,0.49,3,0.497,1.0,1,Tinggi,"Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Upah 36% di bawah median cohort sektor Teknologi & Digital, wilayah Sulawesi Selatan, skala Kecil."
16,EMP-0960,Perkebunan & Agribisnis,Sumatera Utara,Menengah,FLAGGED,1.0,NORMAL,0.26,NORMAL,0.0,3,0.42,1.0,1,Tinggi,"Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Headcount turun 34% (116→76) pada 2025-08, tidak ada resign record yang cocok."
17,EMP-0299,Konstruksi,Sumatera Utara,Besar,NORMAL,0.0,NORMAL,0.218,FLAGGED,1.0,3,0.406,1.0,1,Tinggi,Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Setoran 27% di bawah seharusnya selama 5 bulan berturut-turut (2025-08 s/d 2025-12).
18,EMP-0462,Perdagangan & Ritel,Sumatera Utara,Menengah,NORMAL,0.0,NORMAL,0.206,FLAGGED,1.0,3,0.402,1.0,1,Tinggi,Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Setoran 30% di bawah seharusnya selama 8 bulan berturut-turut (2025-05 s/d 2025-12).
19,EMP-0178,Konstruksi,DKI Jakarta,Besar,FLAGGED,1.0,NORMAL,0.178,NORMAL,0.0,3,0.393,1.0,1,Tinggi,"Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Headcount turun 32% (761→514) pada 2025-09, hanya 1 resign tercatat."
20,EMP-0437,Perdagangan & Ritel,Jawa Timur,Kecil,FLAGGED,1.0,NORMAL,0.06,NORMAL,0.0,3,0.353,1.0,1,Tinggi,"Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Headcount turun 39% (49→30) pada 2025-08, hanya 1 resign tercatat."
21,EMP-0361,Perdagangan & Ritel,DKI Jakarta,Menengah,NORMAL,0.0,NORMAL,0.025,FLAGGED,1.0,3,0.342,1.0,1,Tinggi,Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Setoran 28% di bawah seharusnya selama 4 bulan berturut-turut (2025-09 s/d 2025-12).
22,EMP-0054,Manufaktur,Jawa Barat,Menengah,FLAGGED,1.0,NOT_CANDIDATE,0.0,NORMAL,0.0,3,0.333,1.0,1,Tinggi,"Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Headcount turun 43% (197→113) pada 2025-08, tidak ada resign record yang cocok."
23,EMP-0065,Manufaktur,Jawa Barat,Menengah,NORMAL,0.0,FLAGGED,1.0,NORMAL,0.0,3,0.333,1.0,1,Tinggi,"Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Upah 32% di bawah median cohort sektor Manufaktur, wilayah Jawa Barat, skala Menengah."
24,EMP-0194,Konstruksi,DKI Jakarta,Besar,NORMAL,0.0,FLAGGED,1.0,NORMAL,0.0,3,0.333,1.0,1,Tinggi,"Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Upah 31% di bawah median cohort sektor Konstruksi, wilayah DKI Jakarta, skala Besar."
25,EMP-0199,Konstruksi,DKI Jakarta,Besar,FLAGGED,1.0,NORMAL,0.0,NORMAL,0.0,3,0.333,1.0,1,Tinggi,"Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Headcount turun 37% (571→361) pada 2025-08, tidak ada resign record yang cocok."
26,EMP-0214,Konstruksi,Jawa Barat,Kecil,FLAGGED,1.0,NOT_CANDIDATE,0.0,NORMAL,0.0,3,0.333,1.0,1,Tinggi,"Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Headcount turun 45% (22→12) pada 2025-07, hanya 1 resign tercatat."
27,EMP-0222,Konstruksi,Jawa Barat,Kecil,NORMAL,0.0,FLAGGED,1.0,NORMAL,0.0,3,0.333,1.0,1,Tinggi,"Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Upah 38% di bawah median cohort sektor Konstruksi, wilayah Jawa Barat, skala Kecil."
28,EMP-0248,Konstruksi,Jawa Timur,Menengah,FLAGGED,1.0,NOT_CANDIDATE,0.0,NORMAL,0.0,3,0.333,1.0,1,Tinggi,"Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Headcount turun 44% (118→66) pada 2025-09, tidak ada resign record yang cocok."
29,EMP-0303,Konstruksi,Sumatera Utara,Besar,FLAGGED,1.0,NOT_CANDIDATE,0.0,NORMAL,0.0,3,0.333,1.0,1,Tinggi,"Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Headcount turun 40% (307→183) pada 2025-08, hanya 1 resign tercatat."
30,EMP-0355,Perdagangan & Ritel,DKI Jakarta,Menengah,FLAGGED,1.0,NORMAL,0.0,NORMAL,0.0,3,0.333,1.0,1,Tinggi,"Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Headcount turun 33% (177→118) pada 2025-07, hanya 1 resign tercatat."
31,EMP-0393,Perdagangan & Ritel,Jawa Barat,Besar,NORMAL,0.0,NOT_CANDIDATE,0.0,FLAGGED,1.0,3,0.333,1.0,1,Tinggi,Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Setoran 27% di bawah seharusnya selama 7 bulan berturut-turut (2025-06 s/d 2025-12).
32,EMP-0399,Perdagangan & Ritel,Jawa Barat,Besar,NORMAL,0.0,NOT_CANDIDATE,0.0,FLAGGED,1.0,3,0.333,1.0,1,Tinggi,Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Setoran 27% di bawah seharusnya selama 8 bulan berturut-turut (2025-05 s/d 2025-12).
33,EMP-0419,Perdagangan & Ritel,Jawa Timur,Kecil,FLAGGED,1.0,NORMAL,0.0,NORMAL,0.0,3,0.333,1.0,1,Tinggi,"Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Headcount turun 47% (34→18) pada 2025-06, hanya 1 resign tercatat."
34,EMP-0478,Perdagangan & Ritel,Sulawesi Selatan,Besar,FLAGGED,1.0,NORMAL,0.0,NORMAL,0.0,3,0.333,1.0,1,Tinggi,"Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Headcount turun 47% (316→168) pada 2025-06, hanya 1 resign tercatat."
35,EMP-0516,Jasa Keuangan,DKI Jakarta,Kecil,NORMAL,0.0,FLAGGED,1.0,NORMAL,0.0,3,0.333,1.0,1,Tinggi,"Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Upah 39% di bawah median cohort sektor Jasa Keuangan, wilayah DKI Jakarta, skala Kecil."
36,EMP-0528,Jasa Keuangan,DKI Jakarta,Kecil,NORMAL,0.0,FLAGGED,1.0,NORMAL,0.0,3,0.333,1.0,1,Tinggi,"Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Upah 27% di bawah median cohort sektor Jasa Keuangan, wilayah DKI Jakarta, skala Kecil."
37,EMP-0580,Jasa Keuangan,Jawa Timur,Besar,NORMAL,0.0,NOT_CANDIDATE,0.0,FLAGGED,1.0,3,0.333,1.0,1,Tinggi,Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Setoran 30% di bawah seharusnya selama 5 bulan berturut-turut (2025-08 s/d 2025-12).
38,EMP-0600,Jasa Keuangan,Jawa Timur,Besar,FLAGGED,1.0,NOT_CANDIDATE,0.0,NORMAL,0.0,3,0.333,1.0,1,Tinggi,"Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Headcount turun 40% (687→415) pada 2025-06, tidak ada resign record yang cocok."
39,EMP-0623,Jasa Keuangan,Sumatera Utara,Kecil,NORMAL,0.0,FLAGGED,1.0,NORMAL,0.0,3,0.333,1.0,1,Tinggi,"Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Upah 36% di bawah median cohort sektor Jasa Keuangan, wilayah Sumatera Utara, skala Kecil."
40,EMP-0633,Jasa Keuangan,Sumatera Utara,Kecil,NORMAL,0.0,FLAGGED,1.0,NORMAL,0.0,3,0.333,1.0,1,Tinggi,"Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Upah 27% di bawah median cohort sektor Jasa Keuangan, wilayah Sumatera Utara, skala Kecil."
41,EMP-0648,Jasa Keuangan,Sulawesi Selatan,Menengah,NORMAL,0.0,NOT_CANDIDATE,0.0,FLAGGED,1.0,3,0.333,1.0,1,Tinggi,Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Setoran 27% di bawah seharusnya selama 5 bulan berturut-turut (2025-08 s/d 2025-12).
42,EMP-0650,Jasa Keuangan,Sulawesi Selatan,Menengah,FLAGGED,1.0,NOT_CANDIDATE,0.0,NORMAL,0.0,3,0.333,1.0,1,Tinggi,"Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Headcount turun 37% (134→84) pada 2025-06, tidak ada resign record yang cocok."
43,EMP-0679,Jasa Keuangan,Sulawesi Selatan,Menengah,NORMAL,0.0,NOT_CANDIDATE,0.0,FLAGGED,1.0,3,0.333,1.0,1,Tinggi,Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Setoran 29% di bawah seharusnya selama 3 bulan berturut-turut (2025-10 s/d 2025-12).
44,EMP-0806,Teknologi & Digital,Sumatera Utara,Besar,FLAGGED,1.0,NOT_CANDIDATE,0.0,NORMAL,0.0,3,0.333,1.0,1,Tinggi,"Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Headcount turun 46% (904→488) pada 2025-08, hanya 1 resign tercatat."
45,EMP-0830,Teknologi & Digital,Sulawesi Selatan,Kecil,NORMAL,0.0,FLAGGED,1.0,NORMAL,0.0,3,0.333,1.0,1,Tinggi,"Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Upah 31% di bawah median cohort sektor Teknologi & Digital, wilayah Sulawesi Selatan, skala Kecil."
46,EMP-0851,Perkebunan & Agribisnis,DKI Jakarta,Menengah,NORMAL,0.0,FLAGGED,1.0,NORMAL,0.0,3,0.333,1.0,1,Tinggi,"Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Upah 29% di bawah median cohort sektor Perkebunan & Agribisnis, wilayah DKI Jakarta, skala Menengah."
47,EMP-0853,Perkebunan & Agribisnis,DKI Jakarta,Menengah,NORMAL,0.0,FLAGGED,1.0,NORMAL,0.0,3,0.333,1.0,1,Tinggi,"Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Upah 33% di bawah median cohort sektor Perkebunan & Agribisnis, wilayah DKI Jakarta, skala Menengah."
48,EMP-0857,Perkebunan & Agribisnis,DKI Jakarta,Menengah,FLAGGED,1.0,NORMAL,0.0,NORMAL,0.0,3,0.333,1.0,1,Tinggi,"Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Headcount turun 48% (93→48) pada 2025-09, hanya 1 resign tercatat."
49,EMP-0895,Perkebunan & Agribisnis,Jawa Barat,Besar,NORMAL,0.0,FLAGGED,1.0,NORMAL,0.0,3,0.333,1.0,1,Tinggi,"Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Upah 37% di bawah median cohort sektor Perkebunan & Agribisnis, wilayah Jawa Barat, skala Besar."
50,EMP-0896,Perkebunan & Agribisnis,Jawa Barat,Besar,NORMAL,0.0,FLAGGED,1.0,NORMAL,0.0,3,0.333,1.0,1,Tinggi,"Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Upah 32% di bawah median cohort sektor Perkebunan & Agribisnis, wilayah Jawa Barat, skala Besar."
51,EMP-0939,Perkebunan & Agribisnis,Jawa Timur,Kecil,NORMAL,0.0,FLAGGED,1.0,NORMAL,0.0,3,0.333,1.0,1,Tinggi,"Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Upah 37% di bawah median cohort sektor Perkebunan & Agribisnis, wilayah Jawa Timur, skala Kecil."
52,EMP-0954,Perkebunan & Agribisnis,Sumatera Utara,Menengah,NORMAL,0.0,FLAGGED,1.0,NORMAL,0.0,3,0.333,1.0,1,Tinggi,"Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Upah 28% di bawah median cohort sektor Perkebunan & Agribisnis, wilayah Sumatera Utara, skala Menengah."
53,EMP-0039,Manufaktur,Jawa Barat,Menengah,NORMAL,0.0,NOT_CANDIDATE,0.0,FLAGGED,0.992,3,0.331,0.992,1,Tinggi,Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Setoran 25% di bawah seharusnya selama 6 bulan berturut-turut (2025-07 s/d 2025-12).
54,EMP-0698,Teknologi & Digital,DKI Jakarta,Besar,NORMAL,0.0,NOT_CANDIDATE,0.0,FLAGGED,0.991,3,0.33,0.991,1,Tinggi,Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Setoran 25% di bawah seharusnya selama 4 bulan berturut-turut (2025-09 s/d 2025-12).
55,EMP-0354,Perdagangan & Ritel,DKI Jakarta,Menengah,NORMAL,0.0,NORMAL,0.105,FLAGGED,0.969,3,0.358,0.969,1,Tinggi,Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Setoran 24% di bawah seharusnya selama 4 bulan berturut-turut (2025-09 s/d 2025-12).
56,EMP-0387,Perdagangan & Ritel,Jawa Barat,Besar,NORMAL,0.0,NOT_CANDIDATE,0.0,FLAGGED,0.949,3,0.316,0.949,1,Tinggi,Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Setoran 23% di bawah seharusnya selama 6 bulan berturut-turut (2025-07 s/d 2025-12).
57,EMP-0017,Manufaktur,DKI Jakarta,Kecil,NORMAL,0.0,NORMAL,0.0,FLAGGED,0.939,3,0.313,0.939,1,Tinggi,Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Setoran 22% di bawah seharusnya selama 3 bulan berturut-turut (2025-10 s/d 2025-12).
58,EMP-0684,Teknologi & Digital,DKI Jakarta,Besar,NORMAL,0.0,NOT_CANDIDATE,0.0,FLAGGED,0.935,3,0.312,0.935,1,Tinggi,Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Setoran 22% di bawah seharusnya selama 5 bulan berturut-turut (2025-08 s/d 2025-12).
59,EMP-0595,Jasa Keuangan,Jawa Timur,Besar,NORMAL,0.0,NOT_CANDIDATE,0.0,FLAGGED,0.924,3,0.308,0.924,1,Tinggi,Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Setoran 21% di bawah seharusnya selama 7 bulan berturut-turut (2025-06 s/d 2025-12).
60,EMP-0431,Perdagangan & Ritel,Jawa Timur,Kecil,NORMAL,0.0,NORMAL,0.0,FLAGGED,0.895,3,0.298,0.895,1,Tinggi,Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Setoran 20% di bawah seharusnya selama 4 bulan berturut-turut (2025-09 s/d 2025-12).
61,EMP-0350,Perdagangan & Ritel,DKI Jakarta,Menengah,NORMAL,0.0,NORMAL,0.177,FLAGGED,0.86,3,0.346,0.86,1,Tinggi,Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Setoran 19% di bawah seharusnya selama 7 bulan berturut-turut (2025-06 s/d 2025-12).
62,EMP-0887,Perkebunan & Agribisnis,Jawa Barat,Besar,NORMAL,0.0,NOT_CANDIDATE,0.0,FLAGGED,0.856,3,0.285,0.856,1,Tinggi,Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Setoran 18% di bawah seharusnya selama 3 bulan berturut-turut (2025-10 s/d 2025-12).
63,EMP-0915,Perkebunan & Agribisnis,Jawa Barat,Besar,NORMAL,0.0,NOT_CANDIDATE,0.0,FLAGGED,0.839,3,0.28,0.839,1,Tinggi,Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Setoran 18% di bawah seharusnya selama 3 bulan berturut-turut (2025-10 s/d 2025-12).
64,EMP-0077,Manufaktur,Jawa Timur,Besar,NORMAL,0.0,NOT_CANDIDATE,0.0,FLAGGED,0.835,3,0.278,0.835,1,Tinggi,Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Setoran 17% di bawah seharusnya selama 7 bulan berturut-turut (2025-06 s/d 2025-12).
65,EMP-0561,Jasa Keuangan,Jawa Barat,Menengah,NORMAL,0.0,NOT_CANDIDATE,0.0,FLAGGED,0.832,3,0.277,0.832,1,Tinggi,Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Setoran 17% di bawah seharusnya selama 4 bulan berturut-turut (2025-09 s/d 2025-12).
66,EMP-0230,Konstruksi,Jawa Barat,Kecil,NORMAL,0.0,NOT_CANDIDATE,0.0,FLAGGED,0.825,3,0.275,0.825,1,Tinggi,Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Setoran 17% di bawah seharusnya selama 4 bulan berturut-turut (2025-09 s/d 2025-12).
67,EMP-0002,Manufaktur,DKI Jakarta,Kecil,NORMAL,0.0,NORMAL,0.0,FLAGGED,0.807,3,0.269,0.807,1,Tinggi,Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Setoran 16% di bawah seharusnya selama 4 bulan berturut-turut (2025-09 s/d 2025-12).
68,EMP-0006,Manufaktur,DKI Jakarta,Kecil,NORMAL,0.0,NORMAL,0.175,FLAGGED,0.804,3,0.326,0.804,1,Tinggi,Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Setoran 16% di bawah seharusnya selama 8 bulan berturut-turut (2025-05 s/d 2025-12).
69,EMP-0189,Konstruksi,DKI Jakarta,Besar,NORMAL,0.0,NORMAL,0.0,FLAGGED,0.791,3,0.264,0.791,1,Sedang,Prioritas sedang — 1 dari 3 modul menunjukkan indikasi: Setoran 15% di bawah seharusnya selama 5 bulan berturut-turut (2025-08 s/d 2025-12).
70,EMP-0838,Teknologi & Digital,Sulawesi Selatan,Kecil,NORMAL,0.0,NOT_CANDIDATE,0.0,FLAGGED,0.522,3,0.174,0.522,1,Sedang,Prioritas sedang — 1 dari 3 modul menunjukkan indikasi: Setoran 3% di bawah seharusnya selama 2 bulan berturut-turut (2025-01 s/d 2025-02).
71,EMP-0994,Perkebunan & Agribisnis,Sulawesi Selatan,Besar,NORMAL,0.0,NORMAL,0.239,FLAGGED,0.518,3,0.252,0.518,1,Sedang,Prioritas sedang — 1 dari 3 modul menunjukkan indikasi: Setoran 3% di bawah seharusnya selama 2 bulan berturut-turut (2025-06 s/d 2025-07).
72,EMP-0568,Jasa Keuangan,Jawa Barat,Menengah,NORMAL,0.0,NOT_CANDIDATE,0.0,FLAGGED,0.513,3,0.171,0.513,1,Sedang,Prioritas sedang — 1 dari 3 modul menunjukkan indikasi: Setoran 3% di bawah seharusnya selama 2 bulan berturut-turut (2025-01 s/d 2025-02).
73,EMP-0195,Konstruksi,DKI Jakarta,Besar,NORMAL,0.0,NORMAL,0.006,FLAGGED,0.512,3,0.173,0.512,1,Sedang,Prioritas sedang — 1 dari 3 modul menunjukkan indikasi: Setoran 3% di bawah seharusnya selama 2 bulan berturut-turut (2025-04 s/d 2025-05).
74,EMP-0614,Jasa Keuangan,Sumatera Utara,Kecil,NORMAL,0.0,NOT_CANDIDATE,0.0,FLAGGED,0.509,3,0.17,0.509,1,Sedang,Prioritas sedang — 1 dari 3 modul menunjukkan indikasi: Setoran 2% di bawah seharusnya selama 2 bulan berturut-turut (2025-03 s/d 2025-04).
75,EMP-0606,Jasa Keuangan,Jawa Timur,Besar,NORMAL,0.0,NOT_CANDIDATE,0.0,FLAGGED,0.507,3,0.169,0.507,1,Sedang,Prioritas sedang — 1 dari 3 modul menunjukkan indikasi: Setoran 2% di bawah seharusnya selama 2 bulan berturut-turut (2025-03 s/d 2025-04).
76,EMP-0870,Perkebunan & Agribisnis,DKI Jakarta,Menengah,NORMAL,0.0,NORMAL,0.0,FLAGGED,0.505,3,0.168,0.505,1,Sedang,Prioritas sedang — 1 dari 3 modul menunjukkan indikasi: Setoran 2% di bawah seharusnya selama 2 bulan berturut-turut (2025-11 s/d 2025-12).
77,EMP-0479,Perdagangan & Ritel,Sulawesi Selatan,Besar,NORMAL,0.0,NORMAL,0.0,FLAGGED,0.504,3,0.168,0.504,1,Sedang,Prioritas sedang — 1 dari 3 modul menunjukkan indikasi: Setoran 2% di bawah seharusnya selama 2 bulan berturut-turut (2025-02 s/d 2025-03).
78,EMP-0856,Perkebunan & Agribisnis,DKI Jakarta,Menengah,NORMAL,0.0,NORMAL,0.164,FLAGGED,0.502,3,0.222,0.502,1,Sedang,Prioritas sedang — 1 dari 3 modul menunjukkan indikasi: Setoran 2% di bawah seharusnya selama 2 bulan berturut-turut (2025-10 s/d 2025-11).
79,EMP-0210,Konstruksi,Jawa Barat,Kecil,NORMAL,0.0,NOT_CANDIDATE,0.0,FLAGGED,0.502,3,0.167,0.502,1,Sedang,Prioritas sedang — 1 dari 3 modul menunjukkan indikasi: Setoran 2% di bawah seharusnya selama 2 bulan berturut-turut (2025-01 s/d 2025-02).
80,EMP-0133,Manufaktur,Sumatera Utara,Kecil,NORMAL,0.0,NORMAL,0.355,ONE_OFF_GAP,0.49,3,0.282,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
81,EMP-0943,Perkebunan & Agribisnis,Jawa Timur,Kecil,NORMAL,0.0,NORMAL,0.34,ONE_OFF_GAP,0.49,3,0.277,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
82,EMP-0947,Perkebunan & Agribisnis,Jawa Timur,Kecil,NORMAL,0.0,NORMAL,0.321,ONE_OFF_GAP,0.49,3,0.27,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
83,EMP-0360,Perdagangan & Ritel,DKI Jakarta,Menengah,NORMAL,0.0,NORMAL,0.318,ONE_OFF_GAP,0.49,3,0.269,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
84,EMP-1018,Perkebunan & Agribisnis,Sulawesi Selatan,Besar,NORMAL,0.0,NORMAL,0.302,ONE_OFF_GAP,0.49,3,0.264,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
85,EMP-0922,Perkebunan & Agribisnis,Jawa Timur,Kecil,NORMAL,0.0,NORMAL,0.287,ONE_OFF_GAP,0.49,3,0.259,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
86,EMP-0935,Perkebunan & Agribisnis,Jawa Timur,Kecil,NORMAL,0.0,NORMAL,0.281,ONE_OFF_GAP,0.49,3,0.257,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
87,EMP-0166,Manufaktur,Sulawesi Selatan,Menengah,NORMAL,0.0,NORMAL,0.274,ONE_OFF_GAP,0.49,3,0.255,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
88,EMP-0980,Perkebunan & Agribisnis,Sumatera Utara,Menengah,NORMAL,0.0,NORMAL,0.273,ONE_OFF_GAP,0.49,3,0.254,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
89,EMP-0327,Konstruksi,Sulawesi Selatan,Kecil,NORMAL,0.0,NORMAL,0.269,ONE_OFF_GAP,0.49,3,0.253,0.49,0,Rendah,Tidak ada indikasi di 3 modul yang dinilai.
