employer_id,label,expected_module,status_A,score_A,score_A_norm,reason_A,status_B,score_B,score_B_norm,reason_B,status_C,score_C,score_C_norm,reason_C,n_flags,flagged_by
EMP-0011,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NORMAL,0.0,0.0,"Upah sejalan dengan perusahaan sejenis (3% di atas median; sektor=Manufaktur | wilayah=DKI Jakarta | skala=Kecil, n=34).",NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,0,-
EMP-0012,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NORMAL,0.0,0.0,"Upah sejalan dengan perusahaan sejenis (3% di atas median; sektor=Manufaktur | wilayah=DKI Jakarta | skala=Kecil, n=34).",NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,0,-
EMP-0013,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NORMAL,0.0,0.0,"Upah sejalan dengan perusahaan sejenis (0% di atas median; sektor=Manufaktur | wilayah=DKI Jakarta | skala=Kecil, n=34).",NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,0,-
EMP-0014,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NORMAL,0.214,0.048,"Upah sejalan dengan perusahaan sejenis (1% di bawah median; sektor=Manufaktur | wilayah=DKI Jakarta | skala=Kecil, n=34).",NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,0,-
EMP-0015,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NORMAL,0.0,0.0,"Upah sejalan dengan perusahaan sejenis (5% di atas median; sektor=Manufaktur | wilayah=DKI Jakarta | skala=Kecil, n=34).",ONE_OFF_GAP,0.0205,0.49,"Kurang setor pada 2025-09, tetapi tidak berulang berturut-turut — dianggap wajar.",0,-
EMP-0016,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NORMAL,0.057,0.013,"Upah sejalan dengan perusahaan sejenis (0% di bawah median; sektor=Manufaktur | wilayah=DKI Jakarta | skala=Kecil, n=34).",NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,0,-
EMP-0017,REMITTANCE_GAP,C,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NORMAL,0.0,0.0,"Upah sejalan dengan perusahaan sejenis (3% di atas median; sektor=Manufaktur | wilayah=DKI Jakarta | skala=Kecil, n=34).",FLAGGED,0.2218,0.939,Setoran iuran rata-rata 22% di bawah yang seharusnya selama 3 bulan berturut-turut (2025-10 s/d 2025-12); total kekurangan Rp7.797.000.,1,C
EMP-0018,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NORMAL,0.066,0.015,"Upah sejalan dengan perusahaan sejenis (0% di bawah median; sektor=Manufaktur | wilayah=DKI Jakarta | skala=Kecil, n=34).",NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,0,-
EMP-0019,COLD_START,(tidak dikenal),INSUFFICIENT_DATA,,,Riwayat data baru 2 bulan (< 3); belum bisa dinilai.,INSUFFICIENT_DATA,,,Data upah baru 2 bulan (< 3); belum bisa dinilai.,NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,0,-
EMP-0020,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NORMAL,0.629,0.14,"Upah sejalan dengan perusahaan sejenis (3% di bawah median; sektor=Manufaktur | wilayah=DKI Jakarta | skala=Kecil, n=34).",NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,0,-
EMP-0021,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NORMAL,0.829,0.184,"Upah sejalan dengan perusahaan sejenis (4% di bawah median; sektor=Manufaktur | wilayah=DKI Jakarta | skala=Kecil, n=34).",NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,0,-
EMP-0022,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NORMAL,0.0,0.0,"Upah sejalan dengan perusahaan sejenis (5% di atas median; sektor=Manufaktur | wilayah=DKI Jakarta | skala=Kecil, n=34).",NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,0,-
EMP-0023,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NORMAL,0.0,0.0,"Upah sejalan dengan perusahaan sejenis (5% di atas median; sektor=Manufaktur | wilayah=DKI Jakarta | skala=Kecil, n=34).",NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,0,-
EMP-0024,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NORMAL,0.0,0.0,"Upah sejalan dengan perusahaan sejenis (1% di atas median; sektor=Manufaktur | wilayah=DKI Jakarta | skala=Kecil, n=34).",ONE_OFF_GAP,0.0314,0.49,"Kurang setor pada 2025-11, tetapi tidak berulang berturut-turut — dianggap wajar.",0,-
EMP-0025,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NORMAL,0.082,0.018,"Upah sejalan dengan perusahaan sejenis (0% di bawah median; sektor=Manufaktur | wilayah=DKI Jakarta | skala=Kecil, n=34).",NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,0,-
EMP-0026,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NORMAL,0.0,0.0,"Upah sejalan dengan perusahaan sejenis (0% di atas median; sektor=Manufaktur | wilayah=DKI Jakarta | skala=Kecil, n=34).",NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,0,-
EMP-0027,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NORMAL,0.0,0.0,"Upah sejalan dengan perusahaan sejenis (5% di atas median; sektor=Manufaktur | wilayah=DKI Jakarta | skala=Kecil, n=34).",NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,0,-
EMP-0028,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NORMAL,0.633,0.141,"Upah sejalan dengan perusahaan sejenis (3% di bawah median; sektor=Manufaktur | wilayah=DKI Jakarta | skala=Kecil, n=34).",ONE_OFF_GAP,0.0205,0.49,"Kurang setor pada 2025-12, tetapi tidak berulang berturut-turut — dianggap wajar.",0,-
EMP-0029,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NORMAL,0.346,0.077,"Upah sejalan dengan perusahaan sejenis (2% di bawah median; sektor=Manufaktur | wilayah=DKI Jakarta | skala=Kecil, n=34).",NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,0,-
EMP-0030,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NORMAL,0.421,0.094,"Upah sejalan dengan perusahaan sejenis (2% di bawah median; sektor=Manufaktur | wilayah=DKI Jakarta | skala=Kecil, n=34).",NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,0,-
EMP-0031,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NORMAL,0.671,0.149,"Upah sejalan dengan perusahaan sejenis (3% di bawah median; sektor=Manufaktur | wilayah=DKI Jakarta | skala=Kecil, n=34).",ONE_OFF_GAP,0.0214,0.49,"Kurang setor pada 2025-06, tetapi tidak berulang berturut-turut — dianggap wajar.",0,-
EMP-0032,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NORMAL,0.0,0.0,"Upah sejalan dengan perusahaan sejenis (0% di atas median; sektor=Manufaktur | wilayah=DKI Jakarta | skala=Kecil, n=34).",NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,0,-
EMP-0033,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NORMAL,0.485,0.108,"Upah sejalan dengan perusahaan sejenis (3% di bawah median; sektor=Manufaktur | wilayah=DKI Jakarta | skala=Kecil, n=34).",NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,0,-
EMP-0034,CLEAN_MUTASI_SAH,(tidak dikenal),EXPLAINED_BY_RESIGN,0.0,0.0,"Ada penurunan 7 orang pada 2025-08, tetapi sesuai catatan resign/mutasi resmi (8 orang) — dianggap wajar.",NORMAL,0.604,0.134,"Upah sejalan dengan perusahaan sejenis (3% di bawah median; sektor=Manufaktur | wilayah=DKI Jakarta | skala=Kecil, n=34).",NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,0,-
EMP-0035,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NOT_CANDIDATE,0.0,0.0,Upah rata-rata Rp4.912.300/orang di atas 1.5× UMR (Rp2.191.238); tidak masuk kandidat awal.,ONE_OFF_GAP,0.0211,0.49,"Kurang setor pada 2025-02, tetapi tidak berulang berturut-turut — dianggap wajar.",0,-
EMP-0036,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NOT_CANDIDATE,0.0,0.0,Upah rata-rata Rp4.649.350/orang di atas 1.5× UMR (Rp2.191.238); tidak masuk kandidat awal.,NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,0,-
EMP-0037,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NOT_CANDIDATE,0.0,0.0,Upah rata-rata Rp4.947.850/orang di atas 1.5× UMR (Rp2.191.238); tidak masuk kandidat awal.,NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,0,-
EMP-0038,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NOT_CANDIDATE,0.0,0.0,Upah rata-rata Rp4.543.900/orang di atas 1.5× UMR (Rp2.191.238); tidak masuk kandidat awal.,NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,0,-
EMP-0039,REMITTANCE_GAP,C,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NOT_CANDIDATE,0.0,0.0,Upah rata-rata Rp4.787.000/orang di atas 1.5× UMR (Rp2.191.238); tidak masuk kandidat awal.,FLAGGED,0.2463,0.992,Setoran iuran rata-rata 25% di bawah yang seharusnya selama 6 bulan berturut-turut (2025-07 s/d 2025-12); total kekurangan Rp17.561.000.,1,C
EMP-0040,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NOT_CANDIDATE,0.0,0.0,Upah rata-rata Rp4.729.350/orang di atas 1.5× UMR (Rp2.191.238); tidak masuk kandidat awal.,NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,0,-
EMP-0041,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NOT_CANDIDATE,0.0,0.0,Upah rata-rata Rp4.675.650/orang di atas 1.5× UMR (Rp2.191.238); tidak masuk kandidat awal.,NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,0,-
EMP-0042,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NOT_CANDIDATE,0.0,0.0,Upah rata-rata Rp4.561.150/orang di atas 1.5× UMR (Rp2.191.238); tidak masuk kandidat awal.,NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,0,-
EMP-0043,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NOT_CANDIDATE,0.0,0.0,Upah rata-rata Rp4.760.050/orang di atas 1.5× UMR (Rp2.191.238); tidak masuk kandidat awal.,ONE_OFF_GAP,0.0234,0.49,"Kurang setor pada 2025-02, tetapi tidak berulang berturut-turut — dianggap wajar.",0,-
EMP-0044,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NOT_CANDIDATE,0.0,0.0,Upah rata-rata Rp4.984.350/orang di atas 1.5× UMR (Rp2.191.238); tidak masuk kandidat awal.,NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,0,-
EMP-0045,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NOT_CANDIDATE,0.0,0.0,Upah rata-rata Rp5.038.250/orang di atas 1.5× UMR (Rp2.191.238); tidak masuk kandidat awal.,NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,0,-
EMP-0046,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NOT_CANDIDATE,0.0,0.0,Upah rata-rata Rp4.604.600/orang di atas 1.5× UMR (Rp2.191.238); tidak masuk kandidat awal.,NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,0,-
EMP-0047,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NOT_CANDIDATE,0.0,0.0,Upah rata-rata Rp4.703.300/orang di atas 1.5× UMR (Rp2.191.238); tidak masuk kandidat awal.,NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,0,-
EMP-0048,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NOT_CANDIDATE,0.0,0.0,Upah rata-rata Rp4.739.450/orang di atas 1.5× UMR (Rp2.191.238); tidak masuk kandidat awal.,ONE_OFF_GAP,0.0227,0.49,"Kurang setor pada 2025-02, tetapi tidak berulang berturut-turut — dianggap wajar.",0,-
EMP-0049,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NOT_CANDIDATE,0.0,0.0,Upah rata-rata Rp4.716.750/orang di atas 1.5× UMR (Rp2.191.238); tidak masuk kandidat awal.,NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,0,-
EMP-0050,COLD_START,(tidak dikenal),INSUFFICIENT_DATA,,,Riwayat data baru 2 bulan (< 3); belum bisa dinilai.,INSUFFICIENT_DATA,,,Data upah baru 2 bulan (< 3); belum bisa dinilai.,NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,0,-
EMP-0051,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NOT_CANDIDATE,0.0,0.0,Upah rata-rata Rp4.994.200/orang di atas 1.5× UMR (Rp2.191.238); tidak masuk kandidat awal.,NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,0,-
EMP-0052,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NOT_CANDIDATE,0.0,0.0,Upah rata-rata Rp4.876.650/orang di atas 1.5× UMR (Rp2.191.238); tidak masuk kandidat awal.,ONE_OFF_GAP,0.02,0.49,"Kurang setor pada 2025-08, tetapi tidak berulang berturut-turut — dianggap wajar.",0,-
EMP-0053,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NOT_CANDIDATE,0.0,0.0,Upah rata-rata Rp4.834.900/orang di atas 1.5× UMR (Rp2.191.238); tidak masuk kandidat awal.,ONE_OFF_GAP,0.0276,0.49,"Kurang setor pada 2025-02, tetapi tidak berulang berturut-turut — dianggap wajar.",0,-
EMP-0054,PDUK,A,FLAGGED,21.954,1.0,"Perlu dicek — indikasi sembunyiin karyawan: jumlah karyawan turun 84 orang (43%) pada 2025-08 (197→113), jauh di luar pola biasanya (z=-21.9); tidak ada catatan resign.",NOT_CANDIDATE,0.0,0.0,Upah rata-rata Rp5.010.550/orang di atas 1.5× UMR (Rp2.191.238); tidak masuk kandidat awal.,NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,1,A
EMP-0055,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NOT_CANDIDATE,0.0,0.0,Upah rata-rata Rp4.847.100/orang di atas 1.5× UMR (Rp2.191.238); tidak masuk kandidat awal.,NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,0,-
EMP-0056,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NOT_CANDIDATE,0.0,0.0,Upah rata-rata Rp4.592.950/orang di atas 1.5× UMR (Rp2.191.238); tidak masuk kandidat awal.,NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,0,-
EMP-0057,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NOT_CANDIDATE,0.0,0.0,Upah rata-rata Rp4.900.200/orang di atas 1.5× UMR (Rp2.191.238); tidak masuk kandidat awal.,NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,0,-
EMP-0058,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NOT_CANDIDATE,0.0,0.0,Upah rata-rata Rp4.866.750/orang di atas 1.5× UMR (Rp2.191.238); tidak masuk kandidat awal.,NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,0,-
EMP-0059,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NOT_CANDIDATE,0.0,0.0,Upah rata-rata Rp4.659.550/orang di atas 1.5× UMR (Rp2.191.238); tidak masuk kandidat awal.,NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,0,-
EMP-0060,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NOT_CANDIDATE,0.0,0.0,Upah rata-rata Rp4.837.050/orang di atas 1.5× UMR (Rp2.191.238); tidak masuk kandidat awal.,ONE_OFF_GAP,0.0259,0.49,"Kurang setor pada 2025-01, tetapi tidak berulang berturut-turut — dianggap wajar.",0,-
EMP-0061,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NOT_CANDIDATE,0.0,0.0,Upah rata-rata Rp4.660.350/orang di atas 1.5× UMR (Rp2.191.238); tidak masuk kandidat awal.,NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,0,-
EMP-0062,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NOT_CANDIDATE,0.0,0.0,Upah rata-rata Rp4.772.750/orang di atas 1.5× UMR (Rp2.191.238); tidak masuk kandidat awal.,NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,0,-
EMP-0063,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NOT_CANDIDATE,0.0,0.0,Upah rata-rata Rp4.691.400/orang di atas 1.5× UMR (Rp2.191.238); tidak masuk kandidat awal.,NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,0,-
EMP-0064,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NOT_CANDIDATE,0.0,0.0,Upah rata-rata Rp4.803.050/orang di atas 1.5× UMR (Rp2.191.238); tidak masuk kandidat awal.,NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,0,-
EMP-0065,UNDER_REPORTING_WAGE,B,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,FLAGGED,7.152,1.0,"Perlu dicek — indikasi lapor gaji lebih rendah dari aslinya: upah dilaporkan Rp3.264.200/orang, 32% di bawah median perusahaan sejenis (Rp4.765.100; sektor=Manufaktur | wilayah=Jawa Barat | skala=Menengah, n=34), 7.2 IQR di bawah median, konsisten di 12/12 bulan.",NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,1,B
EMP-0066,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NOT_CANDIDATE,0.0,0.0,Upah rata-rata Rp4.661.800/orang di atas 1.5× UMR (Rp2.191.238); tidak masuk kandidat awal.,NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,0,-
EMP-0067,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NOT_CANDIDATE,0.0,0.0,Upah rata-rata Rp4.709.900/orang di atas 1.5× UMR (Rp2.191.238); tidak masuk kandidat awal.,NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,0,-
EMP-0068,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NOT_CANDIDATE,0.0,0.0,Upah rata-rata Rp5.008.200/orang di atas 1.5× UMR (Rp2.191.238); tidak masuk kandidat awal.,NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,0,-
EMP-0069,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NOT_CANDIDATE,0.0,0.0,Upah rata-rata Rp5.199.050/orang di atas 1.5× UMR (Rp2.305.985); tidak masuk kandidat awal.,NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,0,-
