employer_id,periode,jumlah_peserta_aktif
EMP-0030,2025-10,32
EMP-0030,2025-11,32
EMP-0030,2025-12,32
EMP-0031,2025-01,53
EMP-0031,2025-02,55
EMP-0031,2025-03,56
EMP-0031,2025-04,56
EMP-0031,2025-05,56
EMP-0031,2025-06,55
EMP-0031,2025-07,55
EMP-0031,2025-08,55
EMP-0031,2025-09,55
EMP-0031,2025-10,54
EMP-0031,2025-11,55
EMP-0031,2025-12,57
EMP-0032,2025-01,31
EMP-0032,2025-02,31
EMP-0032,2025-03,31
EMP-0032,2025-04,31
EMP-0032,2025-05,31
EMP-0032,2025-06,31
EMP-0032,2025-07,31
EMP-0032,2025-08,31
EMP-0032,2025-09,31
EMP-0032,2025-10,31
EMP-0032,2025-11,32
EMP-0032,2025-12,33
EMP-0033,2025-01,17
EMP-0033,2025-02,17
EMP-0033,2025-03,17
EMP-0033,2025-04,17
EMP-0033,2025-05,18
EMP-0033,2025-06,18
EMP-0033,2025-07,18
EMP-0033,2025-08,18
EMP-0033,2025-09,17
EMP-0033,2025-10,17
EMP-0033,2025-11,17
EMP-0033,2025-12,17
EMP-0034,2025-01,20
EMP-0034,2025-02,21
EMP-0034,2025-03,21
EMP-0034,2025-04,21
EMP-0034,2025-05,21
EMP-0034,2025-06,21
EMP-0034,2025-07,20
EMP-0034,2025-08,13
EMP-0034,2025-09,13
EMP-0034,2025-10,13
EMP-0034,2025-11,13
EMP-0034,2025-12,13
EMP-0035,2025-01,118
EMP-0035,2025-02,121
EMP-0035,2025-03,117
EMP-0035,2025-04,116
EMP-0035,2025-05,116
EMP-0035,2025-06,116
EMP-0035,2025-07,115
EMP-0035,2025-08,116
EMP-0035,2025-09,114
EMP-0035,2025-10,114
EMP-0035,2025-11,114
EMP-0035,2025-12,115
EMP-0036,2025-01,235
EMP-0036,2025-02,230
EMP-0036,2025-03,223
EMP-0036,2025-04,229
EMP-0036,2025-05,231
EMP-0036,2025-06,228
EMP-0036,2025-07,235
EMP-0036,2025-08,236
EMP-0036,2025-09,242
EMP-0036,2025-10,242
EMP-0036,2025-11,252
EMP-0036,2025-12,261
EMP-0037,2025-01,206
EMP-0037,2025-02,210
EMP-0037,2025-03,213
EMP-0037,2025-04,219
EMP-0037,2025-05,215
EMP-0037,2025-06,218
EMP-0037,2025-07,223
EMP-0037,2025-08,215
EMP-0037,2025-09,210
EMP-0037,2025-10,201
EMP-0037,2025-11,200
EMP-0037,2025-12,203
EMP-0038,2025-01,216
EMP-0038,2025-02,216
EMP-0038,2025-03,223
EMP-0038,2025-04,217
EMP-0038,2025-05,210
EMP-0038,2025-06,210
EMP-0038,2025-07,212
EMP-0038,2025-08,212
EMP-0038,2025-09,203
EMP-0038,2025-10,203
EMP-0038,2025-11,198
EMP-0038,2025-12,201
EMP-0039,2025-01,65
EMP-0039,2025-02,64
EMP-0039,2025-03,63
EMP-0039,2025-04,62
EMP-0039,2025-05,62
EMP-0039,2025-06,63
EMP-0039,2025-07,62
EMP-0039,2025-08,63
EMP-0039,2025-09,62
EMP-0039,2025-10,61
EMP-0039,2025-11,61
EMP-0039,2025-12,60
EMP-0040,2025-01,229
EMP-0040,2025-02,224
EMP-0040,2025-03,233
EMP-0040,2025-04,233
EMP-0040,2025-05,230
EMP-0040,2025-06,231
EMP-0040,2025-07,230
EMP-0040,2025-08,229
EMP-0040,2025-09,232
EMP-0040,2025-10,236
EMP-0040,2025-11,233
EMP-0040,2025-12,230
EMP-0041,2025-01,127
EMP-0041,2025-02,121
EMP-0041,2025-03,117
EMP-0041,2025-04,120
EMP-0041,2025-05,124
EMP-0041,2025-06,123
EMP-0041,2025-07,124
EMP-0041,2025-08,125
EMP-0041,2025-09,133
EMP-0041,2025-10,136
EMP-0041,2025-11,136
EMP-0041,2025-12,133
EMP-0042,2025-01,200
EMP-0042,2025-02,201
EMP-0042,2025-03,198
EMP-0042,2025-04,192
EMP-0042,2025-05,190
EMP-0042,2025-06,186
EMP-0042,2025-07,192
EMP-0042,2025-08,195
EMP-0042,2025-09,195
EMP-0042,2025-10,201
EMP-0042,2025-11,201
EMP-0042,2025-12,198
EMP-0043,2025-01,72
EMP-0043,2025-02,73
EMP-0043,2025-03,71
EMP-0043,2025-04,71
EMP-0043,2025-05,70
EMP-0043,2025-06,68
EMP-0043,2025-07,69
EMP-0043,2025-08,72
EMP-0043,2025-09,70
EMP-0043,2025-10,71
EMP-0043,2025-11,70
EMP-0043,2025-12,69
EMP-0044,2025-01,103
EMP-0044,2025-02,101
EMP-0044,2025-03,101
EMP-0044,2025-04,99
EMP-0044,2025-05,100
EMP-0044,2025-06,100
EMP-0044,2025-07,100
EMP-0044,2025-08,98
EMP-0044,2025-09,97
EMP-0044,2025-10,98
EMP-0044,2025-11,99
EMP-0044,2025-12,97
EMP-0045,2025-01,180
EMP-0045,2025-02,183
EMP-0045,2025-03,177
EMP-0045,2025-04,179
EMP-0045,2025-05,177
EMP-0045,2025-06,179
EMP-0045,2025-07,176
EMP-0045,2025-08,170
EMP-0045,2025-09,164
EMP-0045,2025-10,164
EMP-0045,2025-11,165
EMP-0045,2025-12,162
EMP-0046,2025-01,194
EMP-0046,2025-02,188
EMP-0046,2025-03,188
EMP-0046,2025-04,183
EMP-0046,2025-05,181
EMP-0046,2025-06,181
EMP-0046,2025-07,178
EMP-0046,2025-08,177
EMP-0046,2025-09,181
EMP-0046,2025-10,179
EMP-0046,2025-11,182
EMP-0046,2025-12,178
EMP-0047,2025-01,228
EMP-0047,2025-02,235
EMP-0047,2025-03,223
EMP-0047,2025-04,219
EMP-0047,2025-05,222
EMP-0047,2025-06,221
EMP-0047,2025-07,223
EMP-0047,2025-08,220
EMP-0047,2025-09,220
EMP-0047,2025-10,219
EMP-0047,2025-11,224
EMP-0047,2025-12,225
EMP-0048,2025-01,174
EMP-0048,2025-02,173
EMP-0048,2025-03,171
EMP-0048,2025-04,170
EMP-0048,2025-05,171
EMP-0048,2025-06,170
EMP-0048,2025-07,171
EMP-0048,2025-08,178
EMP-0048,2025-09,181
EMP-0048,2025-10,180
EMP-0048,2025-11,184
EMP-0048,2025-12,182
EMP-0049,2025-01,126
EMP-0049,2025-02,123
EMP-0049,2025-03,118
EMP-0049,2025-04,117
EMP-0049,2025-05,117
EMP-0049,2025-06,121
EMP-0049,2025-07,122
EMP-0049,2025-08,121
EMP-0049,2025-09,123
EMP-0049,2025-10,118
EMP-0049,2025-11,119
EMP-0049,2025-12,121
EMP-0050,2025-11,103
EMP-0050,2025-12,105
EMP-0051,2025-01,210
EMP-0051,2025-02,208
EMP-0051,2025-03,211
EMP-0051,2025-04,221
EMP-0051,2025-05,222
EMP-0051,2025-06,223
EMP-0051,2025-07,221
EMP-0051,2025-08,217
EMP-0051,2025-09,221
EMP-0051,2025-10,217
EMP-0051,2025-11,217
EMP-0051,2025-12,215
EMP-0052,2025-01,173
EMP-0052,2025-02,174
EMP-0052,2025-03,178
EMP-0052,2025-04,176
EMP-0052,2025-05,175
EMP-0052,2025-06,172
EMP-0052,2025-07,170
EMP-0052,2025-08,171
EMP-0052,2025-09,174
EMP-0052,2025-10,171
EMP-0052,2025-11,174
EMP-0052,2025-12,179
EMP-0053,2025-01,224
EMP-0053,2025-02,232
EMP-0053,2025-03,228
EMP-0053,2025-04,222
EMP-0053,2025-05,214
EMP-0053,2025-06,220
EMP-0053,2025-07,223
EMP-0053,2025-08,223
EMP-0053,2025-09,224
EMP-0053,2025-10,219
EMP-0053,2025-11,230
EMP-0053,2025-12,231
EMP-0054,2025-01,185
EMP-0054,2025-02,188
EMP-0054,2025-03,190
EMP-0054,2025-04,191
EMP-0054,2025-05,188
EMP-0054,2025-06,190
EMP-0054,2025-07,197
EMP-0054,2025-08,113
EMP-0054,2025-09,116
EMP-0054,2025-10,116
EMP-0054,2025-11,121
EMP-0054,2025-12,115
EMP-0055,2025-01,83
EMP-0055,2025-02,85
EMP-0055,2025-03,82
EMP-0055,2025-04,85
EMP-0055,2025-05,85
EMP-0055,2025-06,84
EMP-0055,2025-07,82
EMP-0055,2025-08,79
EMP-0055,2025-09,80
EMP-0055,2025-10,80
EMP-0055,2025-11,78
EMP-0055,2025-12,76
EMP-0056,2025-01,179
EMP-0056,2025-02,185
EMP-0056,2025-03,184
EMP-0056,2025-04,178
EMP-0056,2025-05,177
EMP-0056,2025-06,176
EMP-0056,2025-07,167
EMP-0056,2025-08,167
EMP-0056,2025-09,166
EMP-0056,2025-10,168
EMP-0056,2025-11,174
EMP-0056,2025-12,178
EMP-0057,2025-01,148
EMP-0057,2025-02,145
EMP-0057,2025-03,152
EMP-0057,2025-04,152
EMP-0057,2025-05,152
EMP-0057,2025-06,152
EMP-0057,2025-07,153
EMP-0057,2025-08,153
EMP-0057,2025-09,151
EMP-0057,2025-10,149
EMP-0057,2025-11,149
EMP-0057,2025-12,147
EMP-0058,2025-01,162
EMP-0058,2025-02,162
EMP-0058,2025-03,161
EMP-0058,2025-04,166
EMP-0058,2025-05,157
EMP-0058,2025-06,160
EMP-0058,2025-07,164
EMP-0058,2025-08,157
EMP-0058,2025-09,156
EMP-0058,2025-10,155
EMP-0058,2025-11,151
EMP-0058,2025-12,149
EMP-0059,2025-01,142
EMP-0059,2025-02,147
EMP-0059,2025-03,150
EMP-0059,2025-04,154
EMP-0059,2025-05,156
EMP-0059,2025-06,152
EMP-0059,2025-07,150
EMP-0059,2025-08,151
EMP-0059,2025-09,147
EMP-0059,2025-10,149
EMP-0059,2025-11,148
EMP-0059,2025-12,147
EMP-0060,2025-01,144
EMP-0060,2025-02,145
EMP-0060,2025-03,144
EMP-0060,2025-04,147
EMP-0060,2025-05,144
EMP-0060,2025-06,146
EMP-0060,2025-07,148
EMP-0060,2025-08,147
EMP-0060,2025-09,148
EMP-0060,2025-10,144
EMP-0060,2025-11,147
EMP-0060,2025-12,146
EMP-0061,2025-01,229
EMP-0061,2025-02,234
EMP-0061,2025-03,231
EMP-0061,2025-04,224
EMP-0061,2025-05,217
EMP-0061,2025-06,220
EMP-0061,2025-07,214
EMP-0061,2025-08,222
EMP-0061,2025-09,213
EMP-0061,2025-10,220
EMP-0061,2025-11,221
EMP-0061,2025-12,221
EMP-0062,2025-01,85
EMP-0062,2025-02,86
EMP-0062,2025-03,86
EMP-0062,2025-04,88
EMP-0062,2025-05,88
EMP-0062,2025-06,88
EMP-0062,2025-07,87
EMP-0062,2025-08,87
EMP-0062,2025-09,88
EMP-0062,2025-10,85
EMP-0062,2025-11,83
EMP-0062,2025-12,84
EMP-0063,2025-01,101
EMP-0063,2025-02,101
EMP-0063,2025-03,101
EMP-0063,2025-04,102
EMP-0063,2025-05,101
EMP-0063,2025-06,99
EMP-0063,2025-07,99
EMP-0063,2025-08,97
EMP-0063,2025-09,98
EMP-0063,2025-10,95
EMP-0063,2025-11,97
EMP-0063,2025-12,98
EMP-0064,2025-01,145
EMP-0064,2025-02,148
EMP-0064,2025-03,153
EMP-0064,2025-04,156
EMP-0064,2025-05,150
EMP-0064,2025-06,146
EMP-0064,2025-07,144
EMP-0064,2025-08,144
EMP-0064,2025-09,145
EMP-0064,2025-10,143
EMP-0064,2025-11,144
EMP-0064,2025-12,142
EMP-0065,2025-01,163
EMP-0065,2025-02,158
EMP-0065,2025-03,155
EMP-0065,2025-04,151
EMP-0065,2025-05,148
EMP-0065,2025-06,151
EMP-0065,2025-07,148
EMP-0065,2025-08,156
EMP-0065,2025-09,158
EMP-0065,2025-10,159
EMP-0065,2025-11,156
EMP-0065,2025-12,158
EMP-0066,2025-01,234
EMP-0066,2025-02,235
EMP-0066,2025-03,247
EMP-0066,2025-04,247
EMP-0066,2025-05,253
EMP-0066,2025-06,249
EMP-0066,2025-07,249
EMP-0066,2025-08,258
EMP-0066,2025-09,255
EMP-0066,2025-10,264
EMP-0066,2025-11,268
EMP-0066,2025-12,265
EMP-0067,2025-01,188
EMP-0067,2025-02,192
EMP-0067,2025-03,194
EMP-0067,2025-04,188
EMP-0067,2025-05,185
EMP-0067,2025-06,184
EMP-0067,2025-07,184
EMP-0067,2025-08,186
EMP-0067,2025-09,187
EMP-0067,2025-10,182
EMP-0067,2025-11,183
EMP-0067,2025-12,185
EMP-0068,2025-01,134
EMP-0068,2025-02,137
EMP-0068,2025-03,139
EMP-0068,2025-04,140
EMP-0068,2025-05,140
EMP-0068,2025-06,135
EMP-0068,2025-07,136
EMP-0068,2025-08,137
EMP-0068,2025-09,138
EMP-0068,2025-10,134
EMP-0068,2025-11,131
EMP-0068,2025-12,134
EMP-0069,2025-01,659
EMP-0069,2025-02,668
EMP-0069,2025-03,668
EMP-0069,2025-04,668
EMP-0069,2025-05,681
EMP-0069,2025-06,674
EMP-0069,2025-07,675
EMP-0069,2025-08,669
EMP-0069,2025-09,663
EMP-0069,2025-10,659
EMP-0069,2025-11,662
EMP-0069,2025-12,656
EMP-0070,2025-01,833
EMP-0070,2025-02,818
EMP-0070,2025-03,815
EMP-0070,2025-04,808
EMP-0070,2025-05,831
EMP-0070,2025-06,834
EMP-0070,2025-07,851
EMP-0070,2025-08,826
EMP-0070,2025-09,830
EMP-0070,2025-10,845
EMP-0070,2025-11,846
EMP-0070,2025-12,864
EMP-0071,2025-01,284
EMP-0071,2025-02,292
EMP-0071,2025-03,305
EMP-0071,2025-04,303
EMP-0071,2025-05,300
EMP-0071,2025-06,309
EMP-0071,2025-07,319
EMP-0071,2025-08,316
EMP-0071,2025-09,313
EMP-0071,2025-10,311
EMP-0071,2025-11,303
EMP-0071,2025-12,297
EMP-0072,2025-01,701
EMP-0072,2025-02,690
EMP-0072,2025-03,690
EMP-0072,2025-04,693
EMP-0072,2025-05,714
EMP-0072,2025-06,700
EMP-0072,2025-07,714
EMP-0072,2025-08,711
EMP-0072,2025-09,710
EMP-0072,2025-10,720
EMP-0072,2025-11,704
EMP-0072,2025-12,709
EMP-0073,2025-01,341
EMP-0073,2025-02,344
EMP-0073,2025-03,346
EMP-0073,2025-04,363
EMP-0073,2025-05,358
EMP-0073,2025-06,354
EMP-0073,2025-07,350
EMP-0073,2025-08,346
EMP-0073,2025-09,342
EMP-0073,2025-10,350
EMP-0073,2025-11,360
EMP-0073,2025-12,356
EMP-0074,2025-01,562
EMP-0074,2025-02,567
EMP-0074,2025-03,561
EMP-0074,2025-04,568
EMP-0074,2025-05,570
EMP-0074,2025-06,553
EMP-0074,2025-07,570
EMP-0074,2025-08,590
EMP-0074,2025-09,583
EMP-0074,2025-10,578
EMP-0074,2025-11,581
EMP-0074,2025-12,585
EMP-0075,2025-01,515
EMP-0075,2025-02,536
EMP-0075,2025-03,534
EMP-0075,2025-04,525
EMP-0075,2025-05,511
EMP-0075,2025-06,504
EMP-0075,2025-07,504
EMP-0075,2025-08,522
EMP-0075,2025-09,517
EMP-0075,2025-10,519
EMP-0075,2025-11,519
EMP-0075,2025-12,531
EMP-0076,2025-01,610
EMP-0076,2025-02,604
EMP-0076,2025-03,598
EMP-0076,2025-04,610
EMP-0076,2025-05,618
EMP-0076,2025-06,641
EMP-0076,2025-07,648
EMP-0076,2025-08,643
EMP-0076,2025-09,651
EMP-0076,2025-10,665
EMP-0076,2025-11,676
EMP-0076,2025-12,683
EMP-0077,2025-01,376
EMP-0077,2025-02,385
EMP-0077,2025-03,396
EMP-0077,2025-04,401
EMP-0077,2025-05,400
EMP-0077,2025-06,401
EMP-0077,2025-07,411
EMP-0077,2025-08,404
EMP-0077,2025-09,407
EMP-0077,2025-10,404
EMP-0077,2025-11,404
EMP-0077,2025-12,414
EMP-0078,2025-01,666
EMP-0078,2025-02,667
EMP-0078,2025-03,649
EMP-0078,2025-04,659
EMP-0078,2025-05,668
EMP-0078,2025-06,697
EMP-0078,2025-07,693
EMP-0078,2025-08,696
EMP-0078,2025-09,699
EMP-0078,2025-10,721
EMP-0078,2025-11,720
EMP-0078,2025-12,724
EMP-0079,2025-01,785
EMP-0079,2025-02,788
EMP-0079,2025-03,781
EMP-0079,2025-04,784
EMP-0079,2025-05,801
EMP-0079,2025-06,785
EMP-0079,2025-07,787
EMP-0079,2025-08,776
EMP-0079,2025-09,795
EMP-0079,2025-10,771
EMP-0079,2025-11,762
EMP-0079,2025-12,768
EMP-0080,2025-01,259
EMP-0080,2025-02,259
EMP-0080,2025-03,256
EMP-0080,2025-04,266
EMP-0080,2025-05,258
EMP-0080,2025-06,247
EMP-0080,2025-07,249
EMP-0080,2025-08,246
EMP-0080,2025-09,241
EMP-0080,2025-10,244
EMP-0080,2025-11,245
EMP-0080,2025-12,242
EMP-0081,2025-01,784
EMP-0081,2025-02,798
EMP-0081,2025-03,808
EMP-0081,2025-04,806
EMP-0081,2025-05,836
EMP-0081,2025-06,818
EMP-0081,2025-07,793
EMP-0081,2025-08,782
EMP-0081,2025-09,781
EMP-0081,2025-10,785
EMP-0081,2025-11,781
EMP-0081,2025-12,786
EMP-0082,2025-01,705
EMP-0082,2025-02,725
EMP-0082,2025-03,724
EMP-0082,2025-04,740
EMP-0082,2025-05,745
EMP-0082,2025-06,752
EMP-0082,2025-07,761
EMP-0082,2025-08,768
EMP-0082,2025-09,778
EMP-0082,2025-10,799
EMP-0082,2025-11,802
EMP-0082,2025-12,813
EMP-0083,2025-01,672
EMP-0083,2025-02,691
EMP-0083,2025-03,682
EMP-0083,2025-04,707
EMP-0083,2025-05,706
EMP-0083,2025-06,686
EMP-0083,2025-07,688
EMP-0083,2025-08,679
EMP-0083,2025-09,690
EMP-0083,2025-10,681
EMP-0083,2025-11,675
EMP-0083,2025-12,649
EMP-0084,2025-01,302
EMP-0084,2025-02,287
EMP-0084,2025-03,278
EMP-0084,2025-04,282
EMP-0084,2025-05,286
EMP-0084,2025-06,288
EMP-0084,2025-07,282
EMP-0084,2025-08,282
EMP-0084,2025-09,282
EMP-0084,2025-10,275
EMP-0084,2025-11,283
EMP-0084,2025-12,288
EMP-0085,2025-01,440
EMP-0085,2025-02,440
EMP-0085,2025-03,442
EMP-0085,2025-04,424
EMP-0085,2025-05,422
EMP-0085,2025-06,416
EMP-0085,2025-07,408
EMP-0085,2025-08,406
EMP-0085,2025-09,421
