employer_id,sektor_usaha,wilayah,skala,anomaly_type,detail
EMP-0052,Manufaktur,Jawa Barat,Menengah,CLEAN,-
EMP-0053,Manufaktur,Jawa Barat,Menengah,CLEAN,-
EMP-0054,Manufaktur,Jawa Barat,Menengah,PDUK,"Headcount drop ~43% mulai periode 2025-08, TANPA resign record matching"
EMP-0055,Manufaktur,Jawa Barat,Menengah,CLEAN,-
EMP-0056,Manufaktur,Jawa Barat,Menengah,CLEAN,-
EMP-0057,Manufaktur,Jawa Barat,Menengah,CLEAN,-
EMP-0058,Manufaktur,Jawa Barat,Menengah,CLEAN,-
EMP-0059,Manufaktur,Jawa Barat,Menengah,CLEAN,-
EMP-0060,Manufaktur,Jawa Barat,Menengah,CLEAN,-
EMP-0061,Manufaktur,Jawa Barat,Menengah,CLEAN,-
EMP-0062,Manufaktur,Jawa Barat,Menengah,CLEAN,-
EMP-0063,Manufaktur,Jawa Barat,Menengah,CLEAN,-
EMP-0064,Manufaktur,Jawa Barat,Menengah,CLEAN,-
EMP-0065,Manufaktur,Jawa Barat,Menengah,UNDER_REPORTING_WAGE,"DPI ditekan ke ~68% dari median cohort (Manufaktur/Jawa Barat/Menengah, n_peer=33)"
EMP-0066,Manufaktur,Jawa Barat,Menengah,CLEAN,-
EMP-0067,Manufaktur,Jawa Barat,Menengah,CLEAN,-
EMP-0068,Manufaktur,Jawa Barat,Menengah,CLEAN,-
EMP-0069,Manufaktur,Jawa Timur,Besar,CLEAN,-
EMP-0070,Manufaktur,Jawa Timur,Besar,CLEAN,-
EMP-0071,Manufaktur,Jawa Timur,Besar,CLEAN,-
EMP-0072,Manufaktur,Jawa Timur,Besar,CLEAN,-
EMP-0073,Manufaktur,Jawa Timur,Besar,CLEAN,-
EMP-0074,Manufaktur,Jawa Timur,Besar,CLEAN,-
EMP-0075,Manufaktur,Jawa Timur,Besar,CLEAN,-
EMP-0076,Manufaktur,Jawa Timur,Besar,CLEAN,-
EMP-0077,Manufaktur,Jawa Timur,Besar,REMITTANCE_GAP,"Actual remittance ~17% di bawah expected, berulang sejak periode 2025-06"
EMP-0078,Manufaktur,Jawa Timur,Besar,CLEAN,-
EMP-0079,Manufaktur,Jawa Timur,Besar,CLEAN,-
EMP-0080,Manufaktur,Jawa Timur,Besar,CLEAN,-
EMP-0081,Manufaktur,Jawa Timur,Besar,CLEAN,-
EMP-0082,Manufaktur,Jawa Timur,Besar,CLEAN,-
EMP-0083,Manufaktur,Jawa Timur,Besar,CLEAN,-
EMP-0084,Manufaktur,Jawa Timur,Besar,CLEAN,-
EMP-0085,Manufaktur,Jawa Timur,Besar,CLEAN,-
EMP-0086,Manufaktur,Jawa Timur,Besar,CLEAN_MUTASI_SAH,"Headcount drop ~31% di periode 2025-06, DENGAN resign record matching (253 orang) -> true-negative test untuk confounder-handling Module A"
EMP-0087,Manufaktur,Jawa Timur,Besar,CLEAN,-
EMP-0088,Manufaktur,Jawa Timur,Besar,CLEAN,-
EMP-0089,Manufaktur,Jawa Timur,Besar,CLEAN,-
EMP-0090,Manufaktur,Jawa Timur,Besar,CLEAN,-
EMP-0091,Manufaktur,Jawa Timur,Besar,CLEAN,-
EMP-0092,Manufaktur,Jawa Timur,Besar,CLEAN,-
EMP-0093,Manufaktur,Jawa Timur,Besar,CLEAN,-
EMP-0094,Manufaktur,Jawa Timur,Besar,CLEAN,-
EMP-0095,Manufaktur,Jawa Timur,Besar,CLEAN,-
EMP-0096,Manufaktur,Jawa Timur,Besar,CLEAN,-
EMP-0097,Manufaktur,Jawa Timur,Besar,CLEAN,-
EMP-0098,Manufaktur,Jawa Timur,Besar,CLEAN,-
EMP-0099,Manufaktur,Jawa Timur,Besar,CLEAN,-
EMP-0100,Manufaktur,Jawa Timur,Besar,CLEAN,-
EMP-0101,Manufaktur,Jawa Timur,Besar,CLEAN,-
EMP-0102,Manufaktur,Jawa Timur,Besar,CLEAN,-
EMP-0103,Manufaktur,Sumatera Utara,Kecil,CLEAN,-
EMP-0104,Manufaktur,Sumatera Utara,Kecil,CLEAN,-
EMP-0105,Manufaktur,Sumatera Utara,Kecil,CLEAN,-
EMP-0106,Manufaktur,Sumatera Utara,Kecil,CLEAN,-
EMP-0107,Manufaktur,Sumatera Utara,Kecil,CLEAN,-
EMP-0108,Manufaktur,Sumatera Utara,Kecil,CLEAN,-
EMP-0109,Manufaktur,Sumatera Utara,Kecil,CLEAN,-
EMP-0110,Manufaktur,Sumatera Utara,Kecil,CLEAN,-
EMP-0111,Manufaktur,Sumatera Utara,Kecil,CLEAN,-
EMP-0112,Manufaktur,Sumatera Utara,Kecil,CLEAN,-
EMP-0113,Manufaktur,Sumatera Utara,Kecil,CLEAN,-
EMP-0114,Manufaktur,Sumatera Utara,Kecil,UNDER_REPORTING_WAGE,"DPI ditekan ke ~62% dari median cohort (Manufaktur/Sumatera Utara/Kecil, n_peer=33)"
EMP-0115,Manufaktur,Sumatera Utara,Kecil,CLEAN,-
EMP-0116,Manufaktur,Sumatera Utara,Kecil,CLEAN,-
EMP-0117,Manufaktur,Sumatera Utara,Kecil,CLEAN,-
EMP-0118,Manufaktur,Sumatera Utara,Kecil,CLEAN,-
EMP-0119,Manufaktur,Sumatera Utara,Kecil,CLEAN,-
EMP-0120,Manufaktur,Sumatera Utara,Kecil,CLEAN,-
EMP-0121,Manufaktur,Sumatera Utara,Kecil,CLEAN,-
EMP-0122,Manufaktur,Sumatera Utara,Kecil,CLEAN,-
EMP-0123,Manufaktur,Sumatera Utara,Kecil,CLEAN,-
EMP-0124,Manufaktur,Sumatera Utara,Kecil,CLEAN,-
EMP-0125,Manufaktur,Sumatera Utara,Kecil,CLEAN,-
EMP-0126,Manufaktur,Sumatera Utara,Kecil,CLEAN,-
EMP-0127,Manufaktur,Sumatera Utara,Kecil,CLEAN,-
EMP-0128,Manufaktur,Sumatera Utara,Kecil,CLEAN,-
EMP-0129,Manufaktur,Sumatera Utara,Kecil,CLEAN,-
EMP-0130,Manufaktur,Sumatera Utara,Kecil,CLEAN,-
EMP-0131,Manufaktur,Sumatera Utara,Kecil,CLEAN,-
EMP-0132,Manufaktur,Sumatera Utara,Kecil,CLEAN,-
EMP-0133,Manufaktur,Sumatera Utara,Kecil,CLEAN,-
EMP-0134,Manufaktur,Sumatera Utara,Kecil,CLEAN,-
EMP-0135,Manufaktur,Sumatera Utara,Kecil,CLEAN,-
EMP-0136,Manufaktur,Sumatera Utara,Kecil,CLEAN,-
EMP-0137,Manufaktur,Sulawesi Selatan,Menengah,CLEAN,-
EMP-0138,Manufaktur,Sulawesi Selatan,Menengah,CLEAN,-
EMP-0139,Manufaktur,Sulawesi Selatan,Menengah,CLEAN,-
EMP-0140,Manufaktur,Sulawesi Selatan,Menengah,CLEAN,-
EMP-0141,Manufaktur,Sulawesi Selatan,Menengah,CLEAN,-
EMP-0142,Manufaktur,Sulawesi Selatan,Menengah,CLEAN,-
EMP-0143,Manufaktur,Sulawesi Selatan,Menengah,CLEAN,-
EMP-0144,Manufaktur,Sulawesi Selatan,Menengah,CLEAN,-
EMP-0145,Manufaktur,Sulawesi Selatan,Menengah,CLEAN,-
EMP-0146,Manufaktur,Sulawesi Selatan,Menengah,CLEAN,-
EMP-0147,Manufaktur,Sulawesi Selatan,Menengah,CLEAN,-
EMP-0148,Manufaktur,Sulawesi Selatan,Menengah,CLEAN,-
EMP-0149,Manufaktur,Sulawesi Selatan,Menengah,CLEAN,-
EMP-0150,Manufaktur,Sulawesi Selatan,Menengah,PDUK,"Headcount drop ~47% mulai periode 2025-09, TANPA resign record matching"
EMP-0151,Manufaktur,Sulawesi Selatan,Menengah,CLEAN,-
EMP-0152,Manufaktur,Sulawesi Selatan,Menengah,CLEAN,-
EMP-0153,Manufaktur,Sulawesi Selatan,Menengah,CLEAN,-
EMP-0154,Manufaktur,Sulawesi Selatan,Menengah,CLEAN,-
EMP-0155,Manufaktur,Sulawesi Selatan,Menengah,CLEAN,-
EMP-0156,Manufaktur,Sulawesi Selatan,Menengah,CLEAN,-
EMP-0157,Manufaktur,Sulawesi Selatan,Menengah,CLEAN,-
EMP-0158,Manufaktur,Sulawesi Selatan,Menengah,CLEAN,-
EMP-0159,Manufaktur,Sulawesi Selatan,Menengah,CLEAN,-
EMP-0160,Manufaktur,Sulawesi Selatan,Menengah,CLEAN,-
EMP-0161,Manufaktur,Sulawesi Selatan,Menengah,CLEAN,-
EMP-0162,Manufaktur,Sulawesi Selatan,Menengah,CLEAN,-
EMP-0163,Manufaktur,Sulawesi Selatan,Menengah,CLEAN,-
EMP-0164,Manufaktur,Sulawesi Selatan,Menengah,CLEAN,-
EMP-0165,Manufaktur,Sulawesi Selatan,Menengah,CLEAN,-
EMP-0166,Manufaktur,Sulawesi Selatan,Menengah,CLEAN,-
EMP-0167,Manufaktur,Sulawesi Selatan,Menengah,CLEAN,-
EMP-0168,Manufaktur,Sulawesi Selatan,Menengah,CLEAN,-
EMP-0169,Manufaktur,Sulawesi Selatan,Menengah,CLEAN,-
EMP-0170,Manufaktur,Sulawesi Selatan,Menengah,CLEAN,-
EMP-0171,Konstruksi,DKI Jakarta,Besar,CLEAN,-
EMP-0172,Konstruksi,DKI Jakarta,Besar,CLEAN,-
EMP-0173,Konstruksi,DKI Jakarta,Besar,CLEAN,-
EMP-0174,Konstruksi,DKI Jakarta,Besar,CLEAN,-
EMP-0175,Konstruksi,DKI Jakarta,Besar,CLEAN,-
EMP-0176,Konstruksi,DKI Jakarta,Besar,CLEAN,-
EMP-0177,Konstruksi,DKI Jakarta,Besar,CLEAN,-
EMP-0178,Konstruksi,DKI Jakarta,Besar,PDUK,"Headcount drop ~31% mulai periode 2025-09, TANPA resign record matching"
EMP-0179,Konstruksi,DKI Jakarta,Besar,CLEAN,-
EMP-0180,Konstruksi,DKI Jakarta,Besar,CLEAN,-
EMP-0181,Konstruksi,DKI Jakarta,Besar,CLEAN,-
EMP-0182,Konstruksi,DKI Jakarta,Besar,CLEAN,-
EMP-0183,Konstruksi,DKI Jakarta,Besar,CLEAN,-
EMP-0184,Konstruksi,DKI Jakarta,Besar,CLEAN,-
EMP-0185,Konstruksi,DKI Jakarta,Besar,CLEAN,-
EMP-0186,Konstruksi,DKI Jakarta,Besar,CLEAN,-
EMP-0187,Konstruksi,DKI Jakarta,Besar,CLEAN,-
EMP-0188,Konstruksi,DKI Jakarta,Besar,CLEAN,-
EMP-0189,Konstruksi,DKI Jakarta,Besar,REMITTANCE_GAP,"Actual remittance ~15% di bawah expected, berulang sejak periode 2025-08"
EMP-0190,Konstruksi,DKI Jakarta,Besar,CLEAN,-
EMP-0191,Konstruksi,DKI Jakarta,Besar,CLEAN,-
EMP-0192,Konstruksi,DKI Jakarta,Besar,CLEAN,-
EMP-0193,Konstruksi,DKI Jakarta,Besar,CLEAN,-
EMP-0194,Konstruksi,DKI Jakarta,Besar,UNDER_REPORTING_WAGE,"DPI ditekan ke ~69% dari median cohort (Konstruksi/DKI Jakarta/Besar, n_peer=33)"
EMP-0195,Konstruksi,DKI Jakarta,Besar,CLEAN,-
EMP-0196,Konstruksi,DKI Jakarta,Besar,CLEAN,-
EMP-0197,Konstruksi,DKI Jakarta,Besar,CLEAN,-
EMP-0198,Konstruksi,DKI Jakarta,Besar,CLEAN,-
EMP-0199,Konstruksi,DKI Jakarta,Besar,PDUK,"Headcount drop ~39% mulai periode 2025-08, TANPA resign record matching"
EMP-0200,Konstruksi,DKI Jakarta,Besar,CLEAN,-
EMP-0201,Konstruksi,DKI Jakarta,Besar,CLEAN,-
EMP-0202,Konstruksi,DKI Jakarta,Besar,CLEAN,-
EMP-0203,Konstruksi,DKI Jakarta,Besar,CLEAN,-
EMP-0204,Konstruksi,DKI Jakarta,Besar,CLEAN,-
EMP-0205,Konstruksi,Jawa Barat,Kecil,CLEAN,-
EMP-0206,Konstruksi,Jawa Barat,Kecil,CLEAN,-
EMP-0207,Konstruksi,Jawa Barat,Kecil,CLEAN,-
EMP-0208,Konstruksi,Jawa Barat,Kecil,CLEAN,-
EMP-0209,Konstruksi,Jawa Barat,Kecil,CLEAN,-
EMP-0210,Konstruksi,Jawa Barat,Kecil,CLEAN,-
EMP-0211,Konstruksi,Jawa Barat,Kecil,PDUK,"Headcount drop ~38% mulai periode 2025-08, TANPA resign record matching"
EMP-0212,Konstruksi,Jawa Barat,Kecil,COLD_START,"Registrasi baru (2025-11), hanya 2 periode histori -> harus INSUFFICIENT_DATA di Module A"
EMP-0213,Konstruksi,Jawa Barat,Kecil,CLEAN,-
EMP-0214,Konstruksi,Jawa Barat,Kecil,PDUK,"Headcount drop ~47% mulai periode 2025-07, TANPA resign record matching"
EMP-0215,Konstruksi,Jawa Barat,Kecil,CLEAN,-
EMP-0216,Konstruksi,Jawa Barat,Kecil,CLEAN,-
EMP-0217,Konstruksi,Jawa Barat,Kecil,CLEAN,-
EMP-0218,Konstruksi,Jawa Barat,Kecil,CLEAN,-
EMP-0219,Konstruksi,Jawa Barat,Kecil,CLEAN,-
EMP-0220,Konstruksi,Jawa Barat,Kecil,CLEAN,-
EMP-0221,Konstruksi,Jawa Barat,Kecil,CLEAN,-
EMP-0222,Konstruksi,Jawa Barat,Kecil,UNDER_REPORTING_WAGE,"DPI ditekan ke ~61% dari median cohort (Konstruksi/Jawa Barat/Kecil, n_peer=33)"
EMP-0223,Konstruksi,Jawa Barat,Kecil,CLEAN,-
EMP-0224,Konstruksi,Jawa Barat,Kecil,CLEAN,-
EMP-0225,Konstruksi,Jawa Barat,Kecil,CLEAN,-
EMP-0226,Konstruksi,Jawa Barat,Kecil,CLEAN,-
EMP-0227,Konstruksi,Jawa Barat,Kecil,CLEAN,-
EMP-0228,Konstruksi,Jawa Barat,Kecil,CLEAN,-
EMP-0229,Konstruksi,Jawa Barat,Kecil,CLEAN,-
EMP-0230,Konstruksi,Jawa Barat,Kecil,REMITTANCE_GAP,"Actual remittance ~17% di bawah expected, berulang sejak periode 2025-09"
EMP-0231,Konstruksi,Jawa Barat,Kecil,CLEAN,-
EMP-0232,Konstruksi,Jawa Barat,Kecil,CLEAN,-
EMP-0233,Konstruksi,Jawa Barat,Kecil,CLEAN,-
EMP-0234,Konstruksi,Jawa Barat,Kecil,CLEAN,-
EMP-0235,Konstruksi,Jawa Barat,Kecil,CLEAN,-
EMP-0236,Konstruksi,Jawa Barat,Kecil,CLEAN,-
EMP-0237,Konstruksi,Jawa Barat,Kecil,CLEAN,-
EMP-0238,Konstruksi,Jawa Barat,Kecil,CLEAN,-
EMP-0239,Konstruksi,Jawa Timur,Menengah,CLEAN,-
EMP-0240,Konstruksi,Jawa Timur,Menengah,CLEAN,-
EMP-0241,Konstruksi,Jawa Timur,Menengah,CLEAN,-
EMP-0242,Konstruksi,Jawa Timur,Menengah,CLEAN,-
EMP-0243,Konstruksi,Jawa Timur,Menengah,CLEAN,-
EMP-0244,Konstruksi,Jawa Timur,Menengah,CLEAN,-
EMP-0245,Konstruksi,Jawa Timur,Menengah,CLEAN,-
EMP-0246,Konstruksi,Jawa Timur,Menengah,CLEAN,-
EMP-0247,Konstruksi,Jawa Timur,Menengah,CLEAN,-
EMP-0248,Konstruksi,Jawa Timur,Menengah,PDUK,"Headcount drop ~46% mulai periode 2025-09, TANPA resign record matching"
EMP-0249,Konstruksi,Jawa Timur,Menengah,CLEAN,-
EMP-0250,Konstruksi,Jawa Timur,Menengah,CLEAN,-
EMP-0251,Konstruksi,Jawa Timur,Menengah,CLEAN,-
EMP-0252,Konstruksi,Jawa Timur,Menengah,CLEAN,-
EMP-0253,Konstruksi,Jawa Timur,Menengah,CLEAN,-
EMP-0254,Konstruksi,Jawa Timur,Menengah,CLEAN,-
EMP-0255,Konstruksi,Jawa Timur,Menengah,CLEAN,-
EMP-0256,Konstruksi,Jawa Timur,Menengah,CLEAN,-
EMP-0257,Konstruksi,Jawa Timur,Menengah,CLEAN,-
EMP-0258,Konstruksi,Jawa Timur,Menengah,CLEAN,-
EMP-0259,Konstruksi,Jawa Timur,Menengah,CLEAN,-
EMP-0260,Konstruksi,Jawa Timur,Menengah,CLEAN,-
EMP-0261,Konstruksi,Jawa Timur,Menengah,COLD_START,"Registrasi baru (2025-11), hanya 2 periode histori -> harus INSUFFICIENT_DATA di Module A"
EMP-0262,Konstruksi,Jawa Timur,Menengah,CLEAN,-
EMP-0263,Konstruksi,Jawa Timur,Menengah,CLEAN,-
EMP-0264,Konstruksi,Jawa Timur,Menengah,CLEAN,-
EMP-0265,Konstruksi,Jawa Timur,Menengah,CLEAN,-
EMP-0266,Konstruksi,Jawa Timur,Menengah,CLEAN,-
EMP-0267,Konstruksi,Jawa Timur,Menengah,CLEAN,-
EMP-0268,Konstruksi,Jawa Timur,Menengah,CLEAN,-
EMP-0269,Konstruksi,Jawa Timur,Menengah,CLEAN,-
EMP-0270,Konstruksi,Jawa Timur,Menengah,CLEAN,-
EMP-0271,Konstruksi,Jawa Timur,Menengah,CLEAN,-
EMP-0272,Konstruksi,Jawa Timur,Menengah,CLEAN,-
EMP-0273,Konstruksi,Sumatera Utara,Besar,COLD_START,"Registrasi baru (2025-11), hanya 2 periode histori -> harus INSUFFICIENT_DATA di Module A"
EMP-0274,Konstruksi,Sumatera Utara,Besar,CLEAN,-
EMP-0275,Konstruksi,Sumatera Utara,Besar,CLEAN,-
EMP-0276,Konstruksi,Sumatera Utara,Besar,CLEAN,-
EMP-0277,Konstruksi,Sumatera Utara,Besar,CLEAN,-
EMP-0278,Konstruksi,Sumatera Utara,Besar,CLEAN,-
EMP-0279,Konstruksi,Sumatera Utara,Besar,CLEAN,-
EMP-0280,Konstruksi,Sumatera Utara,Besar,CLEAN,-
EMP-0281,Konstruksi,Sumatera Utara,Besar,CLEAN,-
EMP-0282,Konstruksi,Sumatera Utara,Besar,CLEAN,-
EMP-0283,Konstruksi,Sumatera Utara,Besar,CLEAN,-
EMP-0284,Konstruksi,Sumatera Utara,Besar,CLEAN,-
EMP-0285,Konstruksi,Sumatera Utara,Besar,CLEAN,-
EMP-0286,Konstruksi,Sumatera Utara,Besar,CLEAN,-
EMP-0287,Konstruksi,Sumatera Utara,Besar,CLEAN,-
EMP-0288,Konstruksi,Sumatera Utara,Besar,CLEAN,-
EMP-0289,Konstruksi,Sumatera Utara,Besar,CLEAN,-
EMP-0290,Konstruksi,Sumatera Utara,Besar,CLEAN,-
EMP-0291,Konstruksi,Sumatera Utara,Besar,COLD_START,"Registrasi baru (2025-11), hanya 2 periode histori -> harus INSUFFICIENT_DATA di Module A"
EMP-0292,Konstruksi,Sumatera Utara,Besar,CLEAN,-
EMP-0293,Konstruksi,Sumatera Utara,Besar,CLEAN,-
EMP-0294,Konstruksi,Sumatera Utara,Besar,CLEAN,-
EMP-0295,Konstruksi,Sumatera Utara,Besar,CLEAN,-
EMP-0296,Konstruksi,Sumatera Utara,Besar,CLEAN,-
EMP-0297,Konstruksi,Sumatera Utara,Besar,CLEAN,-
EMP-0298,Konstruksi,Sumatera Utara,Besar,CLEAN,-
EMP-0299,Konstruksi,Sumatera Utara,Besar,REMITTANCE_GAP,"Actual remittance ~27% di bawah expected, berulang sejak periode 2025-08"
EMP-0300,Konstruksi,Sumatera Utara,Besar,CLEAN,-
EMP-0301,Konstruksi,Sumatera Utara,Besar,CLEAN,-
EMP-0302,Konstruksi,Sumatera Utara,Besar,CLEAN,-
EMP-0303,Konstruksi,Sumatera Utara,Besar,PDUK,"Headcount drop ~43% mulai periode 2025-08, TANPA resign record matching"
EMP-0304,Konstruksi,Sumatera Utara,Besar,CLEAN,-
EMP-0305,Konstruksi,Sumatera Utara,Besar,CLEAN,-
EMP-0306,Konstruksi,Sumatera Utara,Besar,CLEAN,-
EMP-0307,Konstruksi,Sulawesi Selatan,Kecil,CLEAN,-
EMP-0308,Konstruksi,Sulawesi Selatan,Kecil,CLEAN,-
EMP-0309,Konstruksi,Sulawesi Selatan,Kecil,CLEAN,-
EMP-0310,Konstruksi,Sulawesi Selatan,Kecil,CLEAN,-
EMP-0311,Konstruksi,Sulawesi Selatan,Kecil,CLEAN,-
EMP-0312,Konstruksi,Sulawesi Selatan,Kecil,CLEAN,-
EMP-0313,Konstruksi,Sulawesi Selatan,Kecil,CLEAN,-
EMP-0314,Konstruksi,Sulawesi Selatan,Kecil,CLEAN,-
EMP-0315,Konstruksi,Sulawesi Selatan,Kecil,CLEAN,-
EMP-0316,Konstruksi,Sulawesi Selatan,Kecil,CLEAN,-
EMP-0317,Konstruksi,Sulawesi Selatan,Kecil,PDUK,"Headcount drop ~37% mulai periode 2025-09, TANPA resign record matching"
EMP-0318,Konstruksi,Sulawesi Selatan,Kecil,CLEAN,-
EMP-0319,Konstruksi,Sulawesi Selatan,Kecil,CLEAN,-
EMP-0320,Konstruksi,Sulawesi Selatan,Kecil,CLEAN,-
EMP-0321,Konstruksi,Sulawesi Selatan,Kecil,CLEAN,-
EMP-0322,Konstruksi,Sulawesi Selatan,Kecil,CLEAN,-
EMP-0323,Konstruksi,Sulawesi Selatan,Kecil,CLEAN,-
EMP-0324,Konstruksi,Sulawesi Selatan,Kecil,CLEAN,-
EMP-0325,Konstruksi,Sulawesi Selatan,Kecil,CLEAN,-
EMP-0326,Konstruksi,Sulawesi Selatan,Kecil,CLEAN,-
EMP-0327,Konstruksi,Sulawesi Selatan,Kecil,CLEAN,-
EMP-0328,Konstruksi,Sulawesi Selatan,Kecil,CLEAN,-
EMP-0329,Konstruksi,Sulawesi Selatan,Kecil,CLEAN,-
EMP-0330,Konstruksi,Sulawesi Selatan,Kecil,CLEAN,-
EMP-0331,Konstruksi,Sulawesi Selatan,Kecil,CLEAN,-
EMP-0332,Konstruksi,Sulawesi Selatan,Kecil,CLEAN,-
EMP-0333,Konstruksi,Sulawesi Selatan,Kecil,CLEAN,-
EMP-0334,Konstruksi,Sulawesi Selatan,Kecil,CLEAN,-
EMP-0335,Konstruksi,Sulawesi Selatan,Kecil,CLEAN,-
EMP-0336,Konstruksi,Sulawesi Selatan,Kecil,CLEAN,-
EMP-0337,Konstruksi,Sulawesi Selatan,Kecil,CLEAN,-
EMP-0338,Konstruksi,Sulawesi Selatan,Kecil,CLEAN,-
EMP-0339,Konstruksi,Sulawesi Selatan,Kecil,CLEAN,-
EMP-0340,Konstruksi,Sulawesi Selatan,Kecil,CLEAN,-
EMP-0341,Perdagangan & Ritel,DKI Jakarta,Menengah,CLEAN,-
EMP-0342,Perdagangan & Ritel,DKI Jakarta,Menengah,CLEAN,-
EMP-0343,Perdagangan & Ritel,DKI Jakarta,Menengah,CLEAN,-
EMP-0344,Perdagangan & Ritel,DKI Jakarta,Menengah,CLEAN,-
EMP-0345,Perdagangan & Ritel,DKI Jakarta,Menengah,CLEAN,-
EMP-0346,Perdagangan & Ritel,DKI Jakarta,Menengah,CLEAN,-
EMP-0347,Perdagangan & Ritel,DKI Jakarta,Menengah,CLEAN,-
EMP-0348,Perdagangan & Ritel,DKI Jakarta,Menengah,CLEAN,-
EMP-0349,Perdagangan & Ritel,DKI Jakarta,Menengah,CLEAN,-
EMP-0350,Perdagangan & Ritel,DKI Jakarta,Menengah,REMITTANCE_GAP,"Actual remittance ~19% di bawah expected, berulang sejak periode 2025-06"
EMP-0351,Perdagangan & Ritel,DKI Jakarta,Menengah,CLEAN,-
EMP-0352,Perdagangan & Ritel,DKI Jakarta,Menengah,CLEAN,-
EMP-0353,Perdagangan & Ritel,DKI Jakarta,Menengah,CLEAN,-
