rank,employer_id,n_periods,n_gap_periods,longest_run,n_late_paid,total_expected,total_actual,total_shortfall,median_gap_pct,run_start,run_end,first_gap_period,cum_shortfall_pct,status,reason,score_c,score_c_norm
35,EMP-0210,12,2,2,0,64023000.0,63510000.0,227000.0,0.021145315589760034,2025-01,2025-02,2025-01,0.0035456007997126033,FLAGGED,Setoran iuran rata-rata 2% di bawah yang seharusnya selama 2 bulan berturut-turut (2025-01 s/d 2025-02); total kekurangan Rp227.000.,0.0211,0.502
36,EMP-0710,12,2,1,0,4237282000.0,4212521000.0,17246000.0,0.02416883632914937,2025-08,2025-08,2025-08,0.004070061893449621,ONE_OFF_GAP,"Kurang setor pada 2025-08, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0265,0.49
37,EMP-0593,12,2,1,0,3219458000.0,3216721000.0,13570000.0,0.024377723821771592,2025-02,2025-02,2025-02,0.004214995194843356,ONE_OFF_GAP,"Kurang setor pada 2025-02, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0251,0.49
38,EMP-0708,12,1,1,0,4474691000.0,4464004000.0,10677000.0,0.028239532171166953,2025-05,2025-05,2025-05,0.002386086547652117,ONE_OFF_GAP,"Kurang setor pada 2025-05, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0282,0.49
39,EMP-0692,12,1,1,0,3804582000.0,3807966000.0,9889000.0,0.03077559861324636,2025-05,2025-05,2025-05,0.0025992342917040556,ONE_OFF_GAP,"Kurang setor pada 2025-05, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0308,0.49
40,EMP-0688,12,1,1,0,5050446000.0,5032216000.0,9051000.0,0.02194458452944371,2025-07,2025-07,2025-07,0.0017921189534548037,ONE_OFF_GAP,"Kurang setor pada 2025-07, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0219,0.49
41,EMP-0681,12,1,1,0,3509817000.0,3500630000.0,7828000.0,0.02848938562938323,2025-05,2025-05,2025-05,0.0022303157116168736,ONE_OFF_GAP,"Kurang setor pada 2025-05, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0285,0.49
42,EMP-0099,12,2,1,0,1964315000.0,1956382000.0,7168000.0,0.021364931095549697,2025-04,2025-04,2025-04,0.0036491092314623673,ONE_OFF_GAP,"Kurang setor pada 2025-04, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0223,0.49
43,EMP-0707,12,1,1,0,3986346000.0,3984070000.0,7051000.0,0.021368350233654774,2025-09,2025-09,2025-09,0.0017687877570085487,ONE_OFF_GAP,"Kurang setor pada 2025-09, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0214,0.49
44,EMP-0504,12,2,1,0,1661448000.0,1650842000.0,6887000.0,0.02474972653132551,2025-09,2025-09,2025-09,0.00414517938569248,ONE_OFF_GAP,"Kurang setor pada 2025-09, tetapi tidak berulang berturut-turut — dianggap wajar.",0.025,0.49
45,EMP-0794,12,1,1,0,3387686000.0,3366433000.0,6574000.0,0.022415286311468142,2025-10,2025-10,2025-10,0.0019405576549892758,ONE_OFF_GAP,"Kurang setor pada 2025-10, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0224,0.49
46,EMP-0812,12,1,1,0,2880345000.0,2872224000.0,5738000.0,0.024485476417046806,2025-01,2025-01,2025-01,0.001992122471440053,ONE_OFF_GAP,"Kurang setor pada 2025-01, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0245,0.49
47,EMP-0388,12,2,1,0,1375032000.0,1370618000.0,5696000.0,0.02503355103034302,2025-08,2025-08,2025-08,0.004142449048458508,ONE_OFF_GAP,"Kurang setor pada 2025-08, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0273,0.49
48,EMP-0691,12,1,1,0,1767646000.0,1758578000.0,5559000.0,0.03914899011239753,2025-08,2025-08,2025-08,0.0031448604528282248,ONE_OFF_GAP,"Kurang setor pada 2025-08, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0391,0.49
49,EMP-0589,12,1,1,0,2243114000.0,2245305000.0,5493000.0,0.028072058259869682,2025-10,2025-10,2025-10,0.0024488278348759806,ONE_OFF_GAP,"Kurang setor pada 2025-10, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0281,0.49
50,EMP-0179,12,1,1,0,2279776000.0,2282749000.0,5438000.0,0.028067386502054214,2025-08,2025-08,2025-08,0.002385322066729363,ONE_OFF_GAP,"Kurang setor pada 2025-08, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0281,0.49
51,EMP-0796,12,1,1,0,3253563000.0,3258696000.0,5431000.0,0.020481123501438693,2025-12,2025-12,2025-12,0.0016692469148438189,ONE_OFF_GAP,"Kurang setor pada 2025-12, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0205,0.49
52,EMP-0694,12,1,1,0,2680188000.0,2678301000.0,5429000.0,0.023244562425072786,2025-04,2025-04,2025-04,0.0020256041740355528,ONE_OFF_GAP,"Kurang setor pada 2025-04, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0232,0.49
53,EMP-0801,12,1,1,0,2779401000.0,2785412000.0,5183000.0,0.02229237723708715,2025-12,2025-12,2025-12,0.0018647902911454663,ONE_OFF_GAP,"Kurang setor pada 2025-12, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0223,0.49
54,EMP-0799,12,1,1,0,2599082000.0,2596671000.0,4887000.0,0.022891430819819567,2025-11,2025-11,2025-11,0.0018802792678337967,ONE_OFF_GAP,"Kurang setor pada 2025-11, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0229,0.49
55,EMP-0588,12,1,1,0,1535177000.0,1528797000.0,4854000.0,0.0361012978319884,2025-05,2025-05,2025-05,0.0031618503924954583,ONE_OFF_GAP,"Kurang setor pada 2025-05, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0361,0.49
56,EMP-0203,12,1,1,0,2293273000.0,2291181000.0,4850000.0,0.02574159682821067,2025-02,2025-02,2025-02,0.002114881219985584,ONE_OFF_GAP,"Kurang setor pada 2025-02, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0257,0.49
57,EMP-0683,12,1,1,0,1805389000.0,1804555000.0,4477000.0,0.029329874281820982,2025-07,2025-07,2025-07,0.0024797979825954405,ONE_OFF_GAP,"Kurang setor pada 2025-07, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0293,0.49
58,EMP-0193,12,1,1,0,1664559000.0,1663635000.0,4411000.0,0.030784799525421364,2025-12,2025-12,2025-12,0.0026499511281967178,ONE_OFF_GAP,"Kurang setor pada 2025-12, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0308,0.49
59,EMP-1000,12,2,1,0,1268452000.0,1266501000.0,4361000.0,0.020941254238000574,2025-01,2025-01,2025-01,0.0034380488973961964,ONE_OFF_GAP,"Kurang setor pada 2025-01, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0213,0.49
60,EMP-0682,12,1,1,0,2505590000.0,2489564000.0,4235000.0,0.020188585702572318,2025-09,2025-09,2025-09,0.001690220666589506,ONE_OFF_GAP,"Kurang setor pada 2025-09, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0202,0.49
61,EMP-0198,12,1,1,0,2064381000.0,2060678000.0,4198000.0,0.024078004014912533,2025-08,2025-08,2025-08,0.0020335393515053665,ONE_OFF_GAP,"Kurang setor pada 2025-08, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0241,0.49
62,EMP-0102,12,1,1,0,2065883000.0,2061232000.0,4075000.0,0.023832639311280587,2025-08,2025-08,2025-08,0.0019725221612259744,ONE_OFF_GAP,"Kurang setor pada 2025-08, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0238,0.49
63,EMP-0182,12,1,1,0,1892481000.0,1888587000.0,4053000.0,0.02548639845056783,2025-09,2025-09,2025-09,0.0021416331260393105,ONE_OFF_GAP,"Kurang setor pada 2025-09, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0255,0.49
64,EMP-0090,12,1,1,0,2330777000.0,2335488000.0,3995000.0,0.020764788739715063,2025-09,2025-09,2025-09,0.0017140206892379665,ONE_OFF_GAP,"Kurang setor pada 2025-09, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0208,0.49
65,EMP-0185,12,1,1,0,1912745000.0,1914255000.0,3960000.0,0.025580734347949666,2025-03,2025-03,2025-03,0.002070323017443517,ONE_OFF_GAP,"Kurang setor pada 2025-03, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0256,0.49
66,EMP-0596,12,1,1,0,2312963000.0,2310529000.0,3859000.0,0.02096507812330226,2025-04,2025-04,2025-04,0.0016684227114744162,ONE_OFF_GAP,"Kurang setor pada 2025-04, tetapi tidak berulang berturut-turut — dianggap wajar.",0.021,0.49
67,EMP-0289,12,1,1,0,2027910000.0,2025230000.0,3819000.0,0.022511715641486633,2025-10,2025-10,2025-10,0.0018832196695119606,ONE_OFF_GAP,"Kurang setor pada 2025-10, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0225,0.49
68,EMP-0277,12,1,1,0,1442985000.0,1443299000.0,3722000.0,0.03046624320607688,2025-05,2025-05,2025-05,0.002579375391982592,ONE_OFF_GAP,"Kurang setor pada 2025-05, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0305,0.49
69,EMP-0088,12,1,1,0,2181260000.0,2181018000.0,3683000.0,0.020051721791207296,2025-10,2025-10,2025-10,0.0016884736345048274,ONE_OFF_GAP,"Kurang setor pada 2025-10, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0201,0.49
70,EMP-1017,12,2,1,0,880100000.0,878466000.0,3672000.0,0.026092763801211373,2025-04,2025-04,2025-04,0.00417225315305079,ONE_OFF_GAP,"Kurang setor pada 2025-04, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0284,0.49
71,EMP-0294,12,1,1,0,1438866000.0,1433699000.0,3613000.0,0.02971656988698985,2025-10,2025-10,2025-10,0.0025110051943683428,ONE_OFF_GAP,"Kurang setor pada 2025-10, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0297,0.49
72,EMP-0797,12,1,1,0,1712192000.0,1706903000.0,3517000.0,0.02405658118839648,2025-09,2025-09,2025-09,0.002054092064441371,ONE_OFF_GAP,"Kurang setor pada 2025-09, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0241,0.49
73,EMP-0296,12,2,1,0,883246000.0,876212000.0,3448000.0,0.023745734880391355,2025-06,2025-06,2025-06,0.003903782185257561,ONE_OFF_GAP,"Kurang setor pada 2025-06, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0267,0.49
74,EMP-0100,12,2,1,0,957475000.0,956092000.0,3421000.0,0.020953074397236954,2025-02,2025-02,2025-02,0.0035729392412334527,ONE_OFF_GAP,"Kurang setor pada 2025-02, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0219,0.49
75,EMP-0188,12,1,1,0,1915169000.0,1910086000.0,3403000.0,0.021047358101964956,2025-04,2025-04,2025-04,0.0017768666890493738,ONE_OFF_GAP,"Kurang setor pada 2025-04, tetapi tidak berulang berturut-turut — dianggap wajar.",0.021,0.49
76,EMP-0073,12,2,1,0,841171000.0,836283000.0,3398000.0,0.02403860180567023,2025-05,2025-05,2025-05,0.004039606691148411,ONE_OFF_GAP,"Kurang setor pada 2025-05, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0268,0.49
77,EMP-0379,12,1,1,0,1791833000.0,1786962000.0,3365000.0,0.021397413233966246,2025-09,2025-09,2025-09,0.0018779651898363297,ONE_OFF_GAP,"Kurang setor pada 2025-09, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0214,0.49
78,EMP-0072,12,1,1,0,1659128000.0,1660463000.0,3281000.0,0.024672141009444745,2025-04,2025-04,2025-04,0.001977544830778578,ONE_OFF_GAP,"Kurang setor pada 2025-04, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0247,0.49
79,EMP-0706,12,1,1,0,1825560000.0,1826070000.0,3245000.0,0.02123802293313786,2025-08,2025-08,2025-08,0.0017775367558447819,ONE_OFF_GAP,"Kurang setor pada 2025-08, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0212,0.49
80,EMP-0685,12,1,1,0,1389801000.0,1389230000.0,3230000.0,0.027941901606443074,2025-08,2025-08,2025-08,0.0023240737342972123,ONE_OFF_GAP,"Kurang setor pada 2025-08, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0279,0.49
81,EMP-0572,12,2,1,0,757590000.0,752704000.0,3096000.0,0.0248002749660047,2025-08,2025-08,2025-08,0.004086643171108384,ONE_OFF_GAP,"Kurang setor pada 2025-08, tetapi tidak berulang berturut-turut — dianggap wajar.",0.028,0.49
82,EMP-0395,12,1,1,0,1272348000.0,1272866000.0,3065000.0,0.02829108899924311,2025-10,2025-10,2025-10,0.002408932147494239,ONE_OFF_GAP,"Kurang setor pada 2025-10, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0283,0.49
83,EMP-0386,12,1,1,0,1770440000.0,1763353000.0,3019000.0,0.020665343281538778,2025-01,2025-01,2025-01,0.0017052258195702763,ONE_OFF_GAP,"Kurang setor pada 2025-01, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0207,0.49
84,EMP-0192,12,1,1,0,1374663000.0,1375954000.0,2932000.0,0.024786541550426918,2025-03,2025-03,2025-03,0.0021328863874273186,ONE_OFF_GAP,"Kurang setor pada 2025-03, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0248,0.49
85,EMP-0074,12,1,1,1,1346184000.0,1346512000.0,2925000.0,0.026220720195781377,2025-01,2025-01,2025-01,0.0021728084719473714,ONE_OFF_GAP,"Kurang setor pada 2025-01, tetapi tidak berulang berturut-turut — dianggap wajar. 1 kali telat setor tapi dilunasi bulan berikutnya (dianggap wajar).",0.0262,0.49
86,EMP-0076,12,1,1,0,1591725000.0,1586971000.0,2915000.0,0.02213195657125503,2025-06,2025-06,2025-06,0.0018313464951546278,ONE_OFF_GAP,"Kurang setor pada 2025-06, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0221,0.49
87,EMP-0078,12,1,1,0,1706711000.0,1696886000.0,2884000.0,0.021657830311950857,2025-03,2025-03,2025-03,0.0016897998548084591,ONE_OFF_GAP,"Kurang setor pada 2025-03, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0217,0.49
88,EMP-0197,12,1,1,0,1614399000.0,1612260000.0,2856000.0,0.020080998987512658,2025-11,2025-11,2025-11,0.0017690793911542314,ONE_OFF_GAP,"Kurang setor pada 2025-11, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0201,0.49
89,EMP-0785,12,1,1,0,1483090000.0,1483953000.0,2794000.0,0.023167495854063018,2025-01,2025-01,2025-01,0.001883904550634149,ONE_OFF_GAP,"Kurang setor pada 2025-01, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0232,0.49
90,EMP-0597,12,1,1,0,1676376000.0,1676561000.0,2750000.0,0.020180079692969262,2025-04,2025-04,2025-04,0.00164044343273824,ONE_OFF_GAP,"Kurang setor pada 2025-04, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0202,0.49
91,EMP-0406,12,1,1,0,1334125000.0,1328858000.0,2710000.0,0.024164712386421393,2025-06,2025-06,2025-06,0.002031293919235454,ONE_OFF_GAP,"Kurang setor pada 2025-06, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0242,0.49
92,EMP-0555,12,2,1,0,749270000.0,747537000.0,2710000.0,0.022177958483324337,2025-03,2025-03,2025-03,0.003616853737637968,ONE_OFF_GAP,"Kurang setor pada 2025-03, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0229,0.49
93,EMP-0284,12,1,1,0,1502637000.0,1498806000.0,2696000.0,0.02151618901684743,2025-03,2025-03,2025-03,0.0017941791663588745,ONE_OFF_GAP,"Kurang setor pada 2025-03, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0215,0.49
94,EMP-0917,12,1,1,0,1008784000.0,1001847000.0,2666000.0,0.031469480741763756,2025-04,2025-04,2025-04,0.0026427857697980937,ONE_OFF_GAP,"Kurang setor pada 2025-04, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0315,0.49
95,EMP-0787,12,1,1,0,1355063000.0,1358665000.0,2599000.0,0.02380450811038551,2025-08,2025-08,2025-08,0.0019179920047997768,ONE_OFF_GAP,"Kurang setor pada 2025-08, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0238,0.49
96,EMP-0382,12,1,1,0,1451845000.0,1452854000.0,2580000.0,0.021278526008461925,2025-08,2025-08,2025-08,0.001777049202910779,ONE_OFF_GAP,"Kurang setor pada 2025-08, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0213,0.49
97,EMP-0174,12,1,1,0,1094833000.0,1087576000.0,2494000.0,0.026573471279554197,2025-07,2025-07,2025-07,0.0022779729876611318,ONE_OFF_GAP,"Kurang setor pada 2025-07, tetapi tidak berulang berturut-turut — dianggap wajar.",0.0266,0.49
